Date,Channel,Campaign_ID,Sessions,Bounce_Rate,Page_Load_Time_sec
2025-09-08,Facebook/Insta,F_Retarget_C,83,0.6959,5.08
2025-09-08,Facebook/Insta,F_Retarget_C,225,0.7785,5.26
2025-09-08,Google Ads,G_Search_Generic,238,0.3432,2.5
2025-09-09,Google Ads,G_Search_Brnd,271,0.365,2.07
2025-09-09,Facebook/Insta,F_Lookalike_T,108,0.4062,3.15
2025-09-09,Google Ads,G_Search_Generic,428,0.3145,2.08
2025-09-09,Facebook/Insta,F_Retarget_C,185,0.4256,3.45
2025-09-09,Google Ads,G_Shopping_S,379,0.3347,2.47
2025-09-10,Google Ads,G_Search_Generic,359,0.3959,2.39
2025-09-10,Facebook/Insta,F_Lookalike_T,95,0.4124,3.14
2025-09-10,Google Ads,G_Search_Brnd,189,0.3938,2.46
2025-09-10,Facebook/Insta,F_Lookalike_T,136,0.44,3.03
2025-09-10,Google Ads,G_Shopping_S,287,0.3439,2.02
2025-09-11,Facebook/Insta,F_Lookalike_T,132,0.7844,4.64
2025-09-11,Facebook/Insta,F_Retarget_C,84,0.6663,5.17
2025-09-11,Facebook/Insta,F_Retarget_C,39,0.7489,5.23
2025-09-11,Google Ads,G_Shopping_S,238,0.3108,2.73
2025-09-11,Facebook/Insta,F_Lookalike_T,65,0.6556,5.05
2025-09-12,Google Ads,G_Search_Brnd,185,0.383,2.65
2025-09-12,Google Ads,G_Search_Generic,326,0.3953,2.23
2025-09-12,Google Ads,G_Shopping_S,194,0.3256,2.75
2025-09-12,Facebook/Insta,F_Lookalike_T,120,0.4067,3.1
2025-09-12,Google Ads,G_Search_Generic,285,0.3892,2.6
2025-09-13,Google Ads,G_Search_Brnd,341,0.3893,2.42
2025-09-13,Google Ads,G_Search_Generic,185,0.3772,2.53
2025-09-13,Google Ads,G_Shopping_S,217,0.3094,2.6
2025-09-13,Google Ads,G_Search_Brnd,274,0.3937,2.19
2025-09-13,Google Ads,G_Search_Generic,312,0.3831,2.12
2025-09-14,Facebook/Insta,F_Retarget_C,182,0.4899,3.41
2025-09-14,Facebook/Insta,F_Retarget_C,92,0.4465,3.34
2025-09-14,Facebook/Insta,F_Lookalike_T,147,0.4751,2.9
2025-09-14,Google Ads,G_Search_Brnd,234,0.323,2.11
2025-09-14,Google Ads,G_Search_Generic,211,0.3122,2.41
2025-09-15,Google Ads,G_Search_Generic,244,0.3581,2.16
2025-09-15,Facebook/Insta,F_Retarget_C,68,0.7573,5.24
2025-09-15,Facebook/Insta,F_Retarget_C,90,0.6686,5.43
2025-09-15,Facebook/Insta,F_Retarget_C,113,0.6951,4.99
2025-09-15,Facebook/Insta,F_Lookalike_T,209,0.7933,4.79
2025-09-16,Facebook/Insta,F_Retarget_C,100,0.6537,5.06
2025-09-16,Google Ads,G_Search_Brnd,284,0.3106,2.11
2025-09-16,Facebook/Insta,F_Retarget_C,79,0.7949,5.1
2025-09-16,Facebook/Insta,F_Retarget_C,190,0.7707,4.97
2025-09-16,Google Ads,G_Shopping_S,348,0.3018,2.09
2025-09-17,Google Ads,G_Search_Generic,554,0.3797,2.19
2025-09-17,Google Ads,G_Shopping_S,197,0.3606,2.69
2025-09-17,Facebook/Insta,F_Lookalike_T,201,0.4619,3.06
2025-09-17,Google Ads,G_Search_Brnd,341,0.3652,2.69
2025-09-17,Facebook/Insta,F_Lookalike_T,180,0.4372,2.97
2025-09-18,Google Ads,G_Search_Generic,251,0.3817,2.08
2025-09-18,Facebook/Insta,F_Retarget_C,120,0.7392,4.65
2025-09-18,Google Ads,G_Search_Brnd,261,0.331,2.12
2025-09-18,Facebook/Insta,F_Lookalike_T,152,0.6748,4.78
2025-09-18,Facebook/Insta,F_Retarget_C,109,0.6673,4.52
2025-09-19,Google Ads,G_Search_Brnd,358,0.3175,2.04
2025-09-19,Facebook/Insta,F_Lookalike_T,95,0.5021,3.08
2025-09-19,Google Ads,G_Search_Generic,165,0.3505,2.7
2025-09-19,Google Ads,G_Search_Brnd,476,0.3043,2.15
2025-09-19,Google Ads,G_Search_Brnd,227,0.3249,2.46
2025-09-20,Facebook/Insta,F_Lookalike_T,223,0.6574,4.87
2025-09-20,Facebook/Insta,F_Lookalike_T,82,0.6653,5.33
2025-09-20,Google Ads,G_Shopping_S,233,0.3925,2.08
2025-09-20,Facebook/Insta,F_Lookalike_T,90,0.7854,5.48
2025-09-20,Google Ads,G_Shopping_S,410,0.3779,2.51
2025-09-21,Facebook/Insta,F_Lookalike_T,232,0.4202,3.18
2025-09-21,Google Ads,G_Search_Brnd,144,0.3858,2.37
2025-09-21,Facebook/Insta,F_Retarget_C,94,0.4959,2.99
2025-09-21,Google Ads,G_Search_Generic,357,0.3478,2.33
2025-09-21,Google Ads,G_Shopping_S,235,0.3368,2.29
2025-09-22,Facebook/Insta,F_Retarget_C,178,0.7069,5.19
2025-09-22,Facebook/Insta,F_Retarget_C,126,0.7923,5.42
2025-09-22,Google Ads,G_Search_Generic,265,0.3328,2.43
2025-09-22,Facebook/Insta,F_Lookalike_T,192,0.7479,5.3
2025-09-22,Google Ads,G_Search_Brnd,373,0.3633,2.23
2025-09-23,Facebook/Insta,F_Lookalike_T,83,0.6804,5.19
2025-09-23,Google Ads,G_Search_Brnd,472,0.3132,2.49
2025-09-23,Facebook/Insta,F_Lookalike_T,71,0.7589,4.58
2025-09-23,Google Ads,G_Search_Generic,166,0.3137,2.77
2025-09-23,Google Ads,G_Search_Generic,489,0.3594,2.63
2025-09-24,Google Ads,G_Search_Generic,127,0.3946,2.2
2025-09-24,Facebook/Insta,F_Lookalike_T,104,0.4143,3.23
2025-09-24,Google Ads,G_Search_Generic,354,0.3565,2.46
2025-09-24,Google Ads,G_Shopping_S,425,0.3523,2.61
2025-09-24,Google Ads,G_Search_Generic,265,0.3492,2.48
2025-09-25,Google Ads,G_Search_Generic,256,0.312,2.09
2025-09-25,Google Ads,G_Search_Brnd,320,0.3658,2.33
2025-09-25,Google Ads,G_Shopping_S,343,0.3671,2.27
2025-09-25,Google Ads,G_Shopping_S,370,0.3763,2.22
2025-09-25,Google Ads,G_Shopping_S,388,0.3314,2.13
2025-09-26,Google Ads,G_Shopping_S,256,0.3936,2.35
2025-09-26,Google Ads,G_Shopping_S,206,0.373,2.44
2025-09-26,Google Ads,G_Shopping_S,451,0.378,2.38
2025-09-26,Facebook/Insta,F_Retarget_C,158,0.548,3.3
2025-09-26,Facebook/Insta,F_Lookalike_T,129,0.4178,3.4
2025-09-27,Facebook/Insta,F_Retarget_C,96,0.4183,3.21
2025-09-27,Google Ads,G_Shopping_S,347,0.3012,2.36
2025-09-27,Google Ads,G_Search_Brnd,134,0.3295,2.37
2025-09-27,Google Ads,G_Shopping_S,291,0.3302,2.73
2025-09-27,Facebook/Insta,F_Lookalike_T,169,0.4166,3.5
2025-09-28,Google Ads,G_Shopping_S,411,0.3284,2.67
2025-09-28,Facebook/Insta,F_Retarget_C,179,0.5499,3.27
2025-09-28,Facebook/Insta,F_Lookalike_T,135,0.4136,3.43
2025-09-28,Facebook/Insta,F_Lookalike_T,139,0.4361,2.9
2025-09-28,Google Ads,G_Search_Generic,274,0.3198,2.73
2025-09-29,Facebook/Insta,F_Lookalike_T,175,0.4054,2.8
2025-09-29,Google Ads,G_Search_Generic,219,0.3606,2.64
2025-09-29,Facebook/Insta,F_Lookalike_T,153,0.5274,2.84
2025-09-29,Google Ads,G_Search_Brnd,246,0.3928,2.62
2025-09-29,Facebook/Insta,F_Lookalike_T,117,0.5257,2.83
2025-09-30,Google Ads,G_Search_Brnd,237,0.3125,2.4
2025-09-30,Google Ads,G_Search_Brnd,303,0.363,2.68
2025-09-30,Facebook/Insta,F_Lookalike_T,129,0.5102,2.94
2025-09-30,Google Ads,G_Shopping_S,350,0.371,2.78
2025-09-30,Google Ads,G_Search_Generic,414,0.3055,2.49
