Intl_Plan,Day_Charge,CustServ_Calls,Churn
no,43.59,1,True
no,45.02,1,True
yes,30.29,3,True
no,38.45,3,True
no,33.05,2,False
no,16.42,4,True
no,25.57,1,False
yes,32.62,1,True
yes,22.22,2,True
yes,35.92,4,True
yes,36.87,1,True
yes,36.92,0,False
no,35.07,0,False
no,26.18,3,True
no,29.04,5,True
no,29.38,2,False
no,36.96,0,False
yes,45.2,0,True
no,12.46,4,True
no,39.32,1,False
no,36.33,2,False
yes,40.38,9,True
yes,47.57,2,True
yes,23.26,5,True
no,29.38,4,True
no,48.98,3,True
no,29.6,2,True
no,22.41,2,False
no,39.0,2,False
no,49.81,2,False
yes,37.59,2,True
no,12.63,2,False
no,38.78,2,True
no,35.6,1,True
no,27.91,1,False
no,25.59,1,False
no,39.81,0,True
no,15.25,5,True
no,34.97,2,False
no,26.78,3,False
no,27.03,1,False
yes,27.15,0,True
no,57.04,2,True
no,24.85,3,False
yes,37.52,1,True
yes,21.79,2,False
yes,49.86,0,True
no,32.52,1,False
yes,37.43,0,True
no,50.92,0,True
no,26.1,5,False
no,45.1,1,False
no,27.46,2,False
no,28.1,1,False
no,33.15,0,False
no,32.64,1,False
no,44.49,3,True
no,31.18,1,False
no,26.79,5,True
no,45.0,1,True
no,47.99,1,False
no,20.08,2,False
no,29.8,0,False
yes,37.81,1,True
no,20.93,0,False
no,43.64,3,False
yes,42.48,1,True
no,30.11,0,False
no,14.82,6,True
no,38.22,1,False
no,46.1,3,True
no,27.56,5,True
yes,24.65,2,True
no,39.2,1,False
no,19.69,1,False
no,31.84,1,False
yes,39.25,0,True
no,31.81,1,False
no,29.02,1,False
yes,21.57,5,True
yes,30.07,1,True
no,28.8,1,False
no,45.15,2,True
yes,46.16,1,True
no,33.49,1,False
no,30.67,1,False
yes,25.25,1,True
no,33.51,2,False
no,35.41,1,False
yes,24.4,0,False
no,21.03,1,False
no,29.56,0,False
no,53.48,2,True
no,35.6,2,False
no,29.26,1,False
yes,28.51,3,True
no,54.83,2,True
no,12.36,1,False
yes,21.62,0,False
no,30.7,1,True
no,40.39,0,False
no,33.73,2,False
yes,33.93,3,True
no,45.54,3,True
no,33.41,0,False
no,46.14,4,True
no,21.59,1,False
no,24.87,1,False
no,31.09,2,False
no,30.33,0,False
no,28.37,1,True
no,20.54,4,True
no,54.67,2,True
no,36.41,0,False
no,44.2,1,True
no,32.62,4,True
no,13.97,0,False
no,45.53,5,True
no,36.43,1,False
no,48.84,0,True
no,23.02,1,False
no,22.12,0,False
no,29.89,2,False
yes,21.39,1,True
no,27.59,0,False
no,15.49,2,False
no,28.7,0,False
no,38.45,0,False
no,28.54,4,True
no,43.76,2,True
no,26.15,4,False
no,34.87,3,False
no,35.65,2,False
no,25.84,2,True
no,29.73,1,True
no,56.83,0,True
no,22.81,4,True
no,47.26,4,True
no,32.11,3,False
no,27.05,1,False
no,24.19,1,False
yes,58.96,1,True
yes,45.54,1,True
no,33.52,0,False
no,21.47,0,False
no,42.76,3,False
no,19.74,0,False
no,47.14,2,True
no,23.48,2,False
no,34.22,1,False
yes,36.84,2,False
no,44.78,1,True
no,24.89,1,False
yes,33.01,1,True
no,37.88,1,False
no,36.72,2,True
no,19.02,5,True
no,32.18,4,False
no,37.55,0,False
yes,2.13,1,False
no,32.81,1,False
no,24.34,1,False
no,26.21,4,True
no,54.79,0,True
no,43.5,3,False
no,41.68,0,False
no,30.07,4,True
no,28.14,0,False
no,34.24,2,True
no,40.1,3,False
no,23.87,0,False
no,28.05,1,True
yes,33.86,1,False
no,26.25,5,True
no,32.15,1,True
no,28.29,1,False
no,25.18,5,True
yes,45.95,1,True
no,23.7,1,False
no,36.4,1,False
no,18.09,6,True
no,36.84,2,False
no,32.86,5,True
no,36.92,0,False
no,22.37,4,True
no,28.63,1,False
yes,52.21,0,False
no,34.58,2,False
no,36.86,0,False
no,44.57,1,False
no,48.81,3,True
no,24.4,0,False
yes,27.22,2,False
yes,39.97,4,True
yes,27.2,5,True
no,36.7,1,False
yes,40.26,1,True
no,32.95,1,False
no,37.62,1,False
no,36.7,3,False
no,14.43,2,False
no,46.05,0,True
no,41.31,0,True
no,27.56,4,True
yes,43.66,3,False
no,23.82,2,False
no,33.03,5,False
no,19.99,1,False
yes,32.93,0,False
no,24.72,1,False
yes,33.52,4,False
no,31.69,2,True
no,38.2,1,True
no,22.19,4,True
no,27.66,0,False
no,20.69,6,True
no,39.05,1,True
no,29.92,1,False
no,42.11,0,True
no,19.07,0,True
no,27.64,0,False
no,44.85,5,True
no,16.66,0,False
no,36.62,1,False
no,45.27,2,True
no,45.99,1,True
no,32.16,3,True
no,29.17,0,False
no,13.36,1,True
no,31.52,2,False
no,33.63,1,False
yes,22.46,2,True
no,26.03,6,True
no,16.46,2,True
no,54.62,1,True
no,41.43,0,False
yes,40.27,0,True
yes,25.19,4,True
no,48.35,0,True
no,0.0,4,True
yes,22.73,1,True
no,24.04,2,False
no,48.57,0,True
no,37.03,1,True
no,41.65,1,True
no,19.04,4,True
no,41.77,4,True
no,34.41,3,False
no,21.42,1,False
no,45.85,3,True
no,28.49,4,False
no,36.28,1,False
no,24.34,4,True
no,13.99,6,True
no,14.14,1,False
yes,25.4,3,True
no,45.0,0,False
no,23.92,0,False
no,42.65,2,False
yes,34.1,2,False
no,35.67,1,False
no,37.55,1,False
no,19.18,2,False
yes,19.14,0,True
no,33.27,1,True
yes,34.73,1,False
no,41.23,4,False
no,40.21,2,False
no,29.58,2,True
no,10.74,0,False
yes,30.79,0,True
yes,46.46,1,True
no,43.04,2,False
no,34.77,2,False
yes,39.8,1,False
yes,22.66,3,True
no,39.2,0,False
no,38.66,2,False
no,26.08,4,True
no,23.19,3,False
no,37.91,1,False
no,39.73,2,False
no,36.36,1,True
no,29.5,3,False
no,19.57,2,False
no,19.91,0,False
no,37.96,0,True
no,26.32,3,False
no,44.44,1,True
yes,7.91,4,True
no,25.48,0,True
yes,41.17,2,True
no,44.1,1,True
yes,26.61,4,True
no,10.4,5,True
no,23.32,1,False
no,46.09,1,False
no,28.12,0,True
no,37.03,0,False
no,16.58,1,False
no,25.14,2,False
no,40.27,2,True
no,23.39,3,False
yes,46.56,1,True
no,30.4,3,False
yes,41.19,0,True
yes,43.2,3,False
no,28.83,0,False
no,27.22,2,False
no,40.19,1,True
no,31.14,1,False
no,20.26,4,True
no,41.09,2,False
no,38.2,0,False
no,33.46,2,False
no,26.18,4,True
no,27.1,6,True
no,29.36,2,False
no,31.42,1,False
no,49.61,0,True
yes,38.3,1,True
yes,22.34,1,True
no,21.61,3,False
yes,21.64,5,True
no,29.7,5,False
yes,40.97,1,True
no,24.09,0,False
no,27.73,1,False
no,56.07,0,True
no,33.42,2,False
no,39.42,2,False
no,6.43,3,False
no,12.38,3,False
no,45.73,2,True
no,45.61,1,True
no,19.64,7,True
no,28.88,1,False
no,37.18,2,False
no,49.93,2,True
no,20.45,4,True
no,47.35,1,True
no,22.29,5,True
yes,38.28,0,False
no,22.05,5,True
no,25.98,1,False
yes,45.63,2,True
no,29.0,1,False
no,12.8,1,False
no,18.28,2,False
no,39.58,0,True
no,20.59,3,False
no,48.69,1,True
no,45.68,2,True
no,30.48,1,True
no,19.23,1,True
yes,27.42,0,True
yes,32.39,2,True
yes,27.08,1,False
yes,30.72,2,False
no,28.37,1,False
no,41.68,0,True
no,22.54,4,True
yes,20.74,2,True
no,29.31,0,False
no,41.23,3,True
no,32.64,1,False
yes,26.11,0,True
no,48.72,1,True
no,27.98,1,False
no,27.74,1,False
yes,31.84,0,True
no,20.67,1,False
no,43.01,2,False
no,34.56,3,False
no,35.48,2,False
yes,9.21,1,True
no,39.15,1,False
no,33.27,2,False
no,46.94,0,True
no,23.1,4,True
yes,32.15,2,True
no,24.46,2,False
no,48.81,2,True
no,30.55,1,True
no,28.19,5,True
no,33.97,1,False
no,37.79,1,True
yes,25.02,0,True
yes,43.3,0,True
yes,28.92,1,False
no,25.38,7,True
no,13.92,2,True
no,40.63,1,True
no,31.5,0,False
no,27.91,1,False
no,50.22,1,True
no,27.59,4,True
no,46.36,0,True
no,18.94,3,False
yes,26.54,0,True
no,26.01,1,True
no,37.2,4,False
yes,38.28,0,True
no,42.48,2,True
no,46.89,2,True
no,35.75,1,False
yes,38.37,1,True
no,28.53,4,True
no,33.61,2,False
no,32.4,2,False
no,39.39,0,False
no,11.75,0,False
no,25.6,8,True
no,32.22,1,False
no,12.04,6,True
no,44.22,1,True
no,47.82,0,True
yes,22.12,3,True
no,21.88,2,True
no,29.27,1,False
no,29.58,1,False
no,33.69,1,False
no,26.71,0,False
no,26.35,4,True
yes,21.98,1,False
no,40.46,0,True
no,36.18,1,False
no,40.22,1,True
no,30.11,1,False
no,25.55,2,False
no,26.83,5,True
no,24.0,2,False
yes,40.43,2,True
yes,34.68,3,True
no,27.85,0,False
no,24.02,3,False
no,46.33,3,True
no,24.57,2,False
no,28.82,0,False
no,14.06,0,False
no,28.59,3,False
no,48.69,1,True
yes,32.4,1,False
no,33.01,3,False
no,55.78,1,True
yes,24.8,0,True
no,34.2,1,False
no,36.99,2,True
no,45.87,1,True
no,25.36,1,False
no,27.15,3,False
no,36.6,0,False
no,45.76,3,True
no,31.62,1,False
no,44.4,0,True
no,32.39,1,False
no,30.11,3,False
yes,38.91,4,True
no,22.29,1,False
no,39.8,2,False
no,27.59,4,False
no,27.0,2,False
no,49.37,3,True
no,10.3,0,False
no,50.68,2,True
no,20.28,2,False
yes,37.76,0,True
no,40.15,2,True
no,23.22,4,True
no,49.27,2,True
yes,33.35,0,True
yes,29.39,0,True
no,42.47,0,True
no,26.27,1,False
no,15.37,1,False
no,40.77,1,False
no,32.81,2,False
no,27.25,0,False
yes,42.89,3,True
no,16.41,1,True
yes,35.17,0,False
no,42.47,3,True
no,38.42,2,True
no,23.39,2,False
no,45.9,2,True
yes,8.11,0,True
yes,15.22,1,True
yes,42.72,3,True
no,29.1,2,False
yes,8.13,0,True
no,24.4,3,False
no,28.71,2,False
no,37.26,1,False
no,39.46,3,True
no,28.76,4,True
no,15.88,1,False
no,25.99,2,False
yes,14.48,2,False
no,15.22,2,False
yes,24.65,4,True
no,47.41,0,True
no,41.29,1,False
no,36.92,0,True
no,51.54,0,True
no,40.61,2,False
no,22.66,5,True
no,31.37,2,False
no,24.41,2,False
no,40.43,2,False
no,28.34,4,True
no,45.41,1,True
no,6.41,1,False
no,40.68,1,False
no,40.65,5,False
yes,10.69,1,False
no,23.14,0,False
no,35.34,1,False
yes,47.01,1,True
no,53.35,3,False
no,53.24,2,True
no,24.77,0,False
no,21.08,2,False
no,38.61,5,True
no,26.4,2,False
no,41.7,3,True
no,15.78,1,False
no,35.19,1,False
no,34.03,3,False
no,28.12,1,False
no,24.36,4,True
no,46.09,2,True
no,28.41,6,True
no,24.62,2,False
yes,26.83,3,True
yes,30.58,1,True
yes,33.24,1,True
no,46.44,2,True
no,46.55,2,True
no,27.12,1,True
no,27.51,0,False
no,29.63,4,True
no,32.62,1,False
no,44.15,0,False
no,51.66,1,True
no,21.03,1,True
no,35.05,3,False
no,38.86,9,True
no,26.23,0,False
yes,34.34,2,True
no,35.62,6,True
no,50.64,1,True
no,36.18,0,True
no,25.99,2,False
no,23.51,0,False
no,50.13,1,True
yes,40.75,1,True
no,24.31,5,True
no,15.62,2,False
no,34.22,1,True
yes,34.6,1,True
no,14.71,2,False
no,18.68,0,False
no,55.47,1,True
no,25.01,5,True
no,40.78,2,True
yes,27.18,2,True
no,33.63,4,True
no,21.05,0,False
no,17.9,2,False
no,18.99,1,False
no,27.08,2,False
no,13.89,6,True
no,18.53,4,True
no,18.63,4,True
no,33.52,2,False
no,29.87,1,False
no,17.46,0,False
no,42.67,3,False
no,47.52,2,True
no,31.2,3,False
yes,24.96,1,True
no,25.36,3,False
no,23.43,1,True
yes,27.59,3,True
no,25.87,0,False
no,28.53,4,True
no,15.74,5,True
no,44.69,1,False
no,34.97,2,False
no,32.18,2,False
no,25.02,3,False
no,20.93,5,True
yes,19.55,0,True
no,31.4,2,True
no,19.21,2,True
no,50.01,0,True
yes,35.9,3,True
no,12.1,1,False
no,44.1,1,True
no,30.97,2,False
no,42.02,2,True
no,28.37,3,False
no,32.45,2,False
no,54.03,1,True
no,53.04,1,True
no,22.37,1,True
no,12.1,0,False
no,20.94,4,True
no,39.3,1,True
yes,58.7,1,True
no,45.03,1,True
no,30.12,2,False
no,38.27,0,True
yes,27.61,2,True
no,47.8,2,False
no,38.11,1,True
yes,50.73,0,True
yes,26.78,3,True
no,35.28,4,False
no,38.57,0,True
no,54.81,1,True
no,20.93,2,False
no,26.32,3,False
no,31.31,1,False
yes,41.89,2,True
no,48.96,0,True
no,29.04,1,False
no,10.47,1,False
no,51.26,4,True
no,39.76,0,False
yes,16.93,2,True
yes,33.8,1,True
yes,43.5,1,True
no,33.3,0,False
no,37.57,2,False
yes,47.24,0,True
no,38.23,3,True
no,18.55,0,False
no,35.33,0,False
no,52.46,4,True
no,24.62,0,True
no,34.78,2,False
no,36.3,3,False
yes,44.34,1,True
no,30.24,0,False
no,39.97,3,False
no,40.92,0,True
no,53.4,3,True
no,27.54,0,False
no,18.6,0,False
no,43.37,3,True
no,8.36,1,False
no,49.5,1,True
no,44.51,0,True
no,32.52,1,False
no,27.76,0,False
no,34.58,1,False
no,30.28,1,False
no,50.2,1,False
no,23.14,2,False
no,47.45,2,True
no,32.69,1,False
no,41.68,0,True
yes,36.75,5,True
yes,28.73,0,True
no,30.92,1,False
no,17.85,2,True
no,46.58,0,True
no,1.33,2,False
no,35.17,0,False
no,30.46,2,False
yes,40.34,0,True
no,26.3,4,True
no,42.02,2,True
yes,37.13,0,True
no,31.76,2,False
no,31.6,3,False
no,37.83,2,False
no,34.19,3,False
no,40.65,3,True
no,29.87,5,True
no,18.9,6,True
no,28.05,2,False
yes,43.86,0,True
no,40.05,0,False
yes,42.74,0,True
no,44.83,1,True
no,28.46,0,True
no,42.84,0,False
no,55.2,0,True
no,21.96,5,True
yes,21.34,4,True
no,17.19,2,False
no,45.22,2,True
no,36.02,0,False
no,25.36,1,False
no,52.36,1,False
no,29.44,2,False
no,35.75,4,False
no,15.3,2,True
no,40.34,1,False
yes,27.68,0,True
no,50.32,0,True
no,30.06,2,False
yes,21.17,2,True
no,48.57,1,True
no,46.09,1,True
no,40.94,0,False
no,19.52,0,False
no,32.35,1,False
no,18.46,1,True
no,15.27,4,True
no,47.48,2,True
no,47.07,1,True
no,27.78,2,True
no,48.86,4,True
yes,26.93,1,False
no,25.33,2,True
no,49.1,0,True
no,18.46,0,False
no,26.55,1,False
yes,48.86,1,True
no,24.91,1,False
no,41.79,1,True
no,20.03,0,True
no,41.17,5,True
no,27.78,7,False
no,21.86,6,True
no,30.96,5,True
no,28.56,6,True
no,43.59,3,True
no,25.13,0,False
no,39.93,1,True
no,21.17,1,False
yes,39.7,0,True
no,33.54,2,True
no,23.07,7,True
no,38.4,3,True
no,36.38,1,False
yes,20.79,3,True
yes,19.57,2,True
no,38.74,1,True
no,33.13,2,False
no,44.68,0,False
no,45.24,3,True
no,28.99,2,False
no,41.28,5,False
no,45.34,3,True
no,14.6,0,False
no,18.79,4,True
no,33.59,2,False
no,25.5,1,False
no,14.57,4,True
no,36.52,3,False
no,18.7,2,False
no,24.75,0,False
no,15.86,0,False
no,46.36,2,True
no,32.33,0,False
no,26.93,4,True
no,21.98,2,False
no,44.78,2,False
no,46.21,4,True
no,33.22,3,False
no,17.0,0,False
no,27.3,2,False
no,26.27,3,True
no,51.87,0,True
no,36.5,0,False
no,22.36,5,True
no,23.02,0,False
no,36.31,1,False
no,16.51,1,False
no,38.47,2,True
no,32.35,1,False
no,29.41,0,False
yes,27.46,0,False
no,23.68,7,True
no,49.57,2,True
no,42.09,2,False
no,28.85,4,True
no,40.68,0,False
no,19.26,4,True
no,22.66,2,False
no,29.02,3,False
no,54.79,2,True
no,24.97,3,False
no,16.37,1,False
no,23.48,5,True
no,31.76,3,False
yes,35.0,0,True
no,25.76,2,False
no,37.72,0,True
yes,24.34,4,True
no,42.08,2,True
no,38.4,1,True
no,17.6,4,True
no,36.65,5,False
no,36.02,1,False
yes,41.96,0,True
no,29.7,6,True
no,40.8,0,True
no,29.7,0,False
no,27.44,1,False
no,50.1,1,True
yes,21.37,3,True
no,34.05,0,False
no,38.49,3,True
no,42.82,2,False
no,44.97,2,True
no,26.13,0,False
no,33.42,1,False
no,28.22,0,False
no,34.1,1,False
no,43.37,3,True
yes,42.28,1,True
yes,20.77,5,True
yes,17.54,0,True
no,23.53,4,True
no,24.87,0,False
no,26.32,1,False
yes,48.65,2,True
no,22.93,1,False
no,45.37,3,True
no,26.38,3,False
no,49.15,2,True
no,50.15,2,True
no,28.03,2,False
no,18.24,4,True
no,23.99,1,False
no,33.92,4,True
yes,29.26,1,True
no,47.6,0,True
no,23.31,2,False
yes,31.64,4,True
no,34.66,4,False
no,39.08,2,False
no,30.38,1,False
yes,23.8,4,True
no,54.59,4,True
no,20.13,5,True
no,18.12,1,False
no,22.9,2,False
no,39.85,0,False
