OrderID,UnitPrice,Quantity,Discount,StandardCost,OrderDate,ProductName,CategoryID
10308,28.8,1,0,80.4635,9/18/2006,Gudbrandsdalsost,4
10308,12,5,0,15.1125,9/18/2006,Outback Lager,1
10309,17.6,20,0,22.1,9/19/2006,Chef Anton's Cajun Seasoning,2
10309,20,30,0,11.7,9/19/2006,Grandma's Boysenberry Spread,2
10309,11.2,2,0,16.8285,9/19/2006,Singaporean Hokkien Fried Mee,5
10309,36.8,20,0,26,9/19/2006,Ipoh Coffee,1
10309,17.2,3,0,4.8425,9/19/2006,Fløtemysost,4
10310,13.9,10,0,1.625,9/20/2006,Pavlova,3
10310,39.4,5,0,52.65,9/20/2006,Tarte au sucre,3
10311,11.2,6,0,16.8285,9/20/2006,Singaporean Hokkien Fried Mee,5
10311,28.8,7,0,80.4635,9/20/2006,Gudbrandsdalsost,4
10312,36.4,4,0,12.35,9/23/2006,Rössle Sauerkraut,7
10312,36.8,24,0,26,9/23/2006,Ipoh Coffee,1
10312,26.2,20,0,12.675,9/23/2006,Perth Pasties,6
10312,6.2,10,0,28.535,9/23/2006,Rhönbräu Klosterbier,1
10313,15.2,12,0,11.05,9/24/2006,Inlagd Sill,8
10314,25.6,40,0.100000001,11.7,9/25/2006,Mascarpone Fabioli,4
10314,10.6,30,0.100000001,9.1,9/25/2006,Escargots de Bourgogne,8
10314,39.4,25,0.100000001,52.65,9/25/2006,Tarte au sucre,3
10315,11.2,14,0,6.5,9/26/2006,Sasquatch Ale,1
10315,12,30,0,15.1125,9/26/2006,Outback Lager,1
10316,7.7,10,0,22.62,9/27/2006,Jack's New England Clam Chowder,8
10316,39.4,70,0,52.65,9/27/2006,Tarte au sucre,3
10317,14.4,20,0,25.35,9/30/2006,Chai,1
10318,7.7,20,0,22.62,10/1/2006,Jack's New England Clam Chowder,8
10318,14.4,6,0,21.6125,10/1/2006,Lakkalikööri,1
10319,31.2,8,0,10.075,10/2/2006,Alice Mutton,6
10319,36.4,14,0,12.35,10/2/2006,Rössle Sauerkraut,7
10319,14.4,30,0,21.6125,10/2/2006,Lakkalikööri,1
10320,17.2,30,0,4.8425,10/3/2006,Fløtemysost,4
10321,14.4,10,0,13.6825,10/3/2006,Steeleye Stout,1
10322,5.6,20,0,35.75,10/4/2006,Filo Mix,5
10323,12.4,5,0,13.975,10/7/2006,Genen Shouyu,2
10323,11.2,4,0,20.2995,10/7/2006,NuNuCa Nuß-Nougat-Creme,3
10323,14.4,4,0,13,10/7/2006,Chartreuse verte,1
10324,13.9,21,0.150000006,1.625,10/8/2006,Pavlova,3
10324,14.4,70,0.150000006,13.6825,10/8/2006,Steeleye Stout,1
10324,9.6,30,0,9.75,10/8/2006,Spegesild,8
10324,44,40,0.150000006,28.535,10/8/2006,Raclette Courdavault,4
10324,35.1,80,0.150000006,6.5,10/8/2006,Vegie-spread,2
10325,20,6,0,11.7,10/9/2006,Grandma's Boysenberry Spread,2
10325,4.8,12,0,8.6125,10/9/2006,Konbu,8
10325,18.6,9,0,4.55,10/9/2006,Tofu,7
10325,10,4,0,3.9,10/9/2006,Gorgonzola Telino,4
10325,27.8,40,0,5.85,10/9/2006,Mozzarella di Giovanni,4
10326,17.6,24,0,22.1,10/10/2006,Chef Anton's Cajun Seasoning,2
10326,15.6,16,0,29.64,10/10/2006,Ravioli Angelo,5
10326,6.2,50,0,28.535,10/10/2006,Rhönbräu Klosterbier,1
10327,15.2,25,0.200000003,6.5,10/11/2006,Chang,1
10327,16.8,50,0.200000003,8.2875,10/11/2006,Queso Cabrales,4
10327,20.7,35,0.200000003,6.2725,10/11/2006,Nord-Ost Matjeshering,8
10327,10.6,30,0.200000003,9.1,10/11/2006,Escargots de Bourgogne,8
10328,44,9,0,28.535,10/14/2006,Raclette Courdavault,4
10328,16.8,40,0,7.8,10/14/2006,Louisiana Fiery Hot Pepper Sauce,2
10328,10,10,0,5.98,10/14/2006,Scottish Longbreads,3
10329,7.3,10,0.050000001,8.125,10/15/2006,Teatime Chocolate Biscuits,3
10329,20.7,8,0.050000001,6.2725,10/15/2006,Nord-Ost Matjeshering,8
10329,210.8,20,0.050000001,20.8,10/15/2006,Côte de Blaye,1
10329,30.4,12,0.050000001,6.175,10/15/2006,Gnocchi di nonna Alice,5
10330,24.9,50,0.150000006,13.65,10/16/2006,Gumbär Gummibärchen,3
10330,27.8,25,0.150000006,5.85,10/16/2006,Mozzarella di Giovanni,4
10331,5.9,15,0,5.0375,10/16/2006,Tourtière,6
10332,50,40,0.200000003,24.7,10/17/2006,Carnarvon Tigers,8
10332,11.2,10,0.200000003,16.8285,10/17/2006,Singaporean Hokkien Fried Mee,5
10332,7.6,16,0.200000003,15.6,10/17/2006,Zaanse koeken,3
10333,18.6,10,0,4.55,10/18/2006,Tofu,7
10333,8,10,0.100000001,16.9,10/18/2006,Sir Rodney's Scones,3
10333,17.2,40,0.100000001,4.8425,10/18/2006,Fløtemysost,4
10334,5.6,8,0,35.75,10/21/2006,Filo Mix,5
10334,10,10,0,5.98,10/21/2006,Scottish Longbreads,3
10335,15.2,7,0.200000003,6.5,10/22/2006,Chang,1
10335,10,25,0.200000003,3.9,10/22/2006,Gorgonzola Telino,4
10335,25.6,6,0.200000003,11.7,10/22/2006,Mascarpone Fabioli,4
10335,42.4,48,0.200000003,24.7,10/22/2006,Manjimup Dried Apples,7
10336,17.6,18,0.100000001,22.1,10/23/2006,Chef Anton's Cajun Seasoning,2
10337,7.2,40,0,23.4,10/24/2006,Tunnbröd,5
10337,24.9,24,0,13.65,10/24/2006,Gumbär Gummibärchen,3
10337,15.2,20,0,11.05,10/24/2006,Inlagd Sill,8
10337,20.8,28,0,34.45,10/24/2006,Gravad lax,8
10337,27.8,25,0,5.85,10/24/2006,Mozzarella di Giovanni,4
10338,31.2,20,0,10.075,10/25/2006,Alice Mutton,6
10338,20.7,15,0,6.2725,10/25/2006,Nord-Ost Matjeshering,8
10339,17.6,10,0,22.1,10/28/2006,Chef Anton's Cajun Seasoning,2
10339,31.2,70,0.050000001,10.075,10/28/2006,Alice Mutton,6
10339,39.4,28,0,52.65,10/28/2006,Tarte au sucre,3
10340,50,20,0.050000001,24.7,10/29/2006,Carnarvon Tigers,8
10340,7.7,12,0.050000001,22.62,10/29/2006,Jack's New England Clam Chowder,8
10340,36.8,40,0.050000001,26,10/29/2006,Ipoh Coffee,1
10341,2,8,0,9.1,10/29/2006,Geitost,4
10341,44,9,0.150000006,28.535,10/29/2006,Raclette Courdavault,4
10342,15.2,24,0.200000003,6.5,10/30/2006,Chang,1
10342,10,56,0.200000003,3.9,10/30/2006,Gorgonzola Telino,4
10342,15.2,40,0.200000003,11.05,10/30/2006,Inlagd Sill,8
10342,19.2,40,0.200000003,9.75,10/30/2006,Pâté chinois,6
10343,26.6,50,0,18.525,10/31/2006,Wimmers gute Semmelknödel,5
10343,10,4,0.050000001,5.98,10/31/2006,Scottish Longbreads,3
10343,14.4,15,0,21.6125,10/31/2006,Lakkalikööri,1
10344,17.6,35,0,22.1,11/1/2006,Chef Anton's Cajun Seasoning,2
10344,32,70,0.25,11.7,11/1/2006,Northwoods Cranberry Sauce,2
10345,32,70,0,11.7,11/4/2006,Northwoods Cranberry Sauce,2
10345,7.3,80,0,8.125,11/4/2006,Teatime Chocolate Biscuits,3
10345,11.2,9,0,16.8285,11/4/2006,Singaporean Hokkien Fried Mee,5
10346,31.2,36,0.100000001,10.075,11/5/2006,Alice Mutton,6
10346,30.4,20,0,6.175,11/5/2006,Gnocchi di nonna Alice,5
10347,11.2,10,0,20.2995,11/6/2006,NuNuCa Nuß-Nougat-Creme,3
10347,14.4,50,0.150000006,13,11/6/2006,Chartreuse verte,1
10347,14.7,4,0,63.05,11/6/2006,Boston Crab Meat,8
10347,6.2,6,0.150000006,28.535,11/6/2006,Rhönbräu Klosterbier,1
10348,14.4,15,0.150000006,25.35,11/7/2006,Chai,1
10348,7.2,25,0,23.4,11/7/2006,Tunnbröd,5
10349,5.9,24,0,5.0375,11/8/2006,Tourtière,6
10350,13,15,0.100000001,13.65,11/11/2006,Valkoinen suklaa,3
10350,28.8,18,0.100000001,80.4635,11/11/2006,Gudbrandsdalsost,4
10351,210.8,20,0.050000001,20.8,11/11/2006,Côte de Blaye,1
10351,7.7,13,0,22.62,11/11/2006,Jack's New England Clam Chowder,8
10351,15.5,77,0.050000001,9.1,11/11/2006,Gula Malacca,2
10351,16.8,10,0.050000001,7.8,11/11/2006,Louisiana Fiery Hot Pepper Sauce,2
10352,3.6,10,0,12.6425,11/12/2006,Guaraná Fantástica,1
10352,5.9,20,0.150000006,5.0375,11/12/2006,Tourtière,6
10353,16.8,12,0.200000003,8.2875,11/13/2006,Queso Cabrales,4
10353,210.8,50,0.200000003,20.8,11/13/2006,Côte de Blaye,1
10354,14.4,12,0,25.35,11/14/2006,Chai,1
10354,99,4,0,29.9,11/14/2006,Thüringer Rostbratwurst,6
10355,3.6,25,0,12.6425,11/15/2006,Guaraná Fantástica,1
10355,15.6,25,0,29.64,11/15/2006,Ravioli Angelo,5
10356,10,30,0,3.9,11/18/2006,Gorgonzola Telino,4
10356,19.2,12,0,9.75,11/18/2006,Pâté chinois,6
10356,28.8,20,0,80.4635,11/18/2006,Gudbrandsdalsost,4
10357,24.8,30,0.200000003,13.8775,11/19/2006,Ikura,8
10357,24.9,16,0,13.65,11/19/2006,Gumbär Gummibärchen,3
10357,27.2,8,0.200000003,8.125,11/19/2006,Camembert Pierrot,4
10358,3.6,10,0.050000001,12.6425,11/20/2006,Guaraná Fantástica,1
10358,11.2,10,0.050000001,6.5,11/20/2006,Sasquatch Ale,1
10358,15.2,20,0.050000001,11.05,11/20/2006,Inlagd Sill,8
10359,13.9,56,0.050000001,1.625,11/21/2006,Pavlova,3
10359,10,70,0.050000001,3.9,11/21/2006,Gorgonzola Telino,4
10359,27.2,80,0.050000001,8.125,11/21/2006,Camembert Pierrot,4
10360,36.4,30,0,12.35,11/22/2006,Rössle Sauerkraut,7
10360,99,35,0,29.9,11/22/2006,Thüringer Rostbratwurst,6
10360,210.8,10,0,20.8,11/22/2006,Côte de Blaye,1
10360,16,35,0,21.32,11/22/2006,Maxilaku,3
10360,5.9,28,0,5.0375,11/22/2006,Tourtière,6
10361,14.4,54,0.100000001,13,11/22/2006,Chartreuse verte,1
10361,27.2,55,0.100000001,8.125,11/22/2006,Camembert Pierrot,4
10362,11.2,50,0,20.2995,11/25/2006,NuNuCa Nuß-Nougat-Creme,3
10362,42.4,20,0,24.7,11/25/2006,Manjimup Dried Apples,7
10362,5.9,24,0,5.0375,11/25/2006,Tourtière,6
10363,10,20,0,3.9,11/26/2006,Gorgonzola Telino,4
10363,6.2,12,0,28.535,11/26/2006,Rhönbräu Klosterbier,1
10363,14.4,12,0,21.6125,11/26/2006,Lakkalikööri,1
10364,28.8,30,0,80.4635,11/26/2006,Gudbrandsdalsost,4
10364,17.2,5,0,4.8425,11/26/2006,Fløtemysost,4
10365,16.8,24,0,8.2875,11/27/2006,Queso Cabrales,4
10366,16.8,5,0,7.8,11/28/2006,Louisiana Fiery Hot Pepper Sauce,2
10366,10.4,5,0,6.175,11/28/2006,Original Frankfurter grüne Soße,2
10367,11.2,36,0,6.5,11/28/2006,Sasquatch Ale,1
10367,5.9,18,0,5.0375,11/28/2006,Tourtière,6
10367,16.8,15,0,7.8,11/28/2006,Louisiana Fiery Hot Pepper Sauce,2
10367,10.4,7,0,6.175,11/28/2006,Original Frankfurter grüne Soße,2
10368,8,5,0.100000001,16.9,11/29/2006,Sir Rodney's Scones,3
10368,36.4,13,0.100000001,12.35,11/29/2006,Rössle Sauerkraut,7
10368,15.6,25,0,29.64,11/29/2006,Ravioli Angelo,5
10368,26.6,35,0.100000001,18.525,11/29/2006,Wimmers gute Semmelknödel,5
10369,99,20,0,29.9,12/2/2006,Thüringer Rostbratwurst,6
10369,30.4,18,0.25,6.175,12/2/2006,Gnocchi di nonna Alice,5
10370,14.4,15,0.150000006,25.35,12/3/2006,Chai,1
10370,26.6,30,0,18.525,12/3/2006,Wimmers gute Semmelknödel,5
10370,8,20,0.150000006,10.5625,12/3/2006,Longlife Tofu,7
10371,15.2,6,0.200000003,11.05,12/3/2006,Inlagd Sill,8
10372,64.8,12,0.25,16.25,12/4/2006,Sir Rodney's Marmalade,3
10372,210.8,40,0.25,20.8,12/4/2006,Côte de Blaye,1
10372,27.2,70,0.25,8.125,12/4/2006,Camembert Pierrot,4
10372,27.8,42,0.25,5.85,12/4/2006,Mozzarella di Giovanni,4
10373,10.6,80,0.200000003,9.1,12/5/2006,Escargots de Bourgogne,8
10373,17.2,50,0.200000003,4.8425,12/5/2006,Fløtemysost,4
10374,10,30,0,3.9,12/5/2006,Gorgonzola Telino,4
10374,10.6,15,0,9.1,12/5/2006,Escargots de Bourgogne,8
10375,18.6,15,0,4.55,12/6/2006,Tofu,7
10375,5.9,10,0,5.0375,12/6/2006,Tourtière,6
10376,10,42,0.050000001,3.9,12/9/2006,Gorgonzola Telino,4
10377,36.4,20,0.150000006,12.35,12/9/2006,Rössle Sauerkraut,7
10377,14.4,20,0.150000006,13,12/9/2006,Chartreuse verte,1
10378,17.2,6,0,4.8425,12/10/2006,Fløtemysost,4
10379,7.7,8,0.100000001,22.62,12/11/2006,Jack's New England Clam Chowder,8
10379,35.1,16,0.100000001,6.5,12/11/2006,Vegie-spread,2
10379,16.8,20,0.100000001,7.8,12/11/2006,Louisiana Fiery Hot Pepper Sauce,2
10380,20.7,18,0.100000001,6.2725,12/12/2006,Nord-Ost Matjeshering,8
10380,26.2,20,0.100000001,12.675,12/12/2006,Perth Pasties,6
10380,27.2,6,0.100000001,8.125,12/12/2006,Camembert Pierrot,4
10380,12,30,0,15.1125,12/12/2006,Outback Lager,1
10381,8,14,0,10.5625,12/12/2006,Longlife Tofu,7
10382,17,32,0,40.625,12/13/2006,Chef Anton's Gumbo Mix,2
10382,50,9,0,24.7,12/13/2006,Carnarvon Tigers,8
10382,99,14,0,29.9,12/13/2006,Thüringer Rostbratwurst,6
10382,2,60,0,9.1,12/13/2006,Geitost,4
10382,8,50,0,10.5625,12/13/2006,Longlife Tofu,7
10383,4.8,20,0,8.6125,12/16/2006,Konbu,8
10383,13,15,0,13.65,12/16/2006,Valkoinen suklaa,3
10383,30.4,20,0,6.175,12/16/2006,Gnocchi di nonna Alice,5
10384,64.8,28,0,16.25,12/16/2006,Sir Rodney's Marmalade,3
10384,27.2,15,0,8.125,12/16/2006,Camembert Pierrot,4
10385,24,10,0.200000003,12.35,12/17/2006,Uncle Bob's Organic Dried Pears,7
10385,27.2,20,0.200000003,8.125,12/17/2006,Camembert Pierrot,4
10385,10,8,0.200000003,5.98,12/17/2006,Scottish Longbreads,3
10386,3.6,15,0,12.6425,12/18/2006,Guaraná Fantástica,1
10386,11.2,10,0,6.5,12/18/2006,Sasquatch Ale,1
10387,3.6,15,0,12.6425,12/18/2006,Guaraná Fantástica,1
10387,36.4,6,0,12.35,12/18/2006,Rössle Sauerkraut,7
10387,44,12,0,28.535,12/18/2006,Raclette Courdavault,4
10387,17.2,15,0,4.8425,12/18/2006,Fløtemysost,4
10388,7.6,15,0.200000003,8.45,12/19/2006,Røgede sild,8
10388,5.6,20,0.200000003,35.75,12/19/2006,Filo Mix,5
10388,26.2,40,0,12.675,12/19/2006,Perth Pasties,6
10389,24.8,16,0,13.8775,12/20/2006,Ikura,8
10389,19.2,15,0,9.75,12/20/2006,Pâté chinois,6
10389,39.4,20,0,52.65,12/20/2006,Tarte au sucre,3
10389,12,30,0,15.1125,12/20/2006,Outback Lager,1
10390,10,60,0.100000001,3.9,12/23/2006,Gorgonzola Telino,4
10390,14.4,40,0.100000001,13.6825,12/23/2006,Steeleye Stout,1
10390,9.6,45,0,9.75,12/23/2006,Spegesild,8
10390,27.8,24,0.100000001,5.85,12/23/2006,Mozzarella di Giovanni,4
10391,4.8,18,0,8.6125,12/23/2006,Konbu,8
10392,28.8,50,0,80.4635,12/24/2006,Gudbrandsdalsost,4
10393,15.2,25,0.25,6.5,12/25/2006,Chang,1
10393,18.6,42,0.25,4.55,12/25/2006,Tofu,7
10393,11.2,7,0.25,20.2995,12/25/2006,NuNuCa Nuß-Nougat-Creme,3
10393,24.9,70,0.25,13.65,12/25/2006,Gumbär Gummibärchen,3
10393,10,32,0,3.9,12/25/2006,Gorgonzola Telino,4
10394,4.8,10,0,8.6125,12/25/2006,Konbu,8
