Applicant,GPA,Math,EBWR,SAT,Extra,Result
105,3.96,541,587,1128,591,Accepted
106,3.97,568,560,1128,771,Accepted
107,4,733,624,1357,567,Accepted
108,3.77,437,603,1040,805,Accepted
109,2.96,562,591,1153,448,Accepted
110,3.46,416,583,999,591,Declined
111,2.72,632,634,1266,218,Declined
112,4,525,584,1109,259,Accepted
113,3.08,678,544,1222,764,Accepted
114,3.17,481,449,930,863,Declined
115,3.66,589,586,1175,223,Accepted
116,2.92,517,485,1002,186,Declined
117,3.6,486,488,974,279,Declined
118,2.84,580,378,958,241,Declined
119,3.1,386,431,817,884,Declined
120,3.11,581,710,1291,562,Accepted
121,3.01,647,600,1247,275,Accepted
122,3.04,426,444,870,595,Declined
123,3.49,525,669,1194,696,Accepted
124,3.86,500,606,1106,365,Accepted
125,3.25,428,354,782,345,Declined
126,3.89,666,625,1291,859,Accepted
127,4,621,626,1247,145,Accepted
128,3.38,359,668,1027,540,Accepted
129,2.92,634,594,1228,104,Declined
130,3,576,681,1257,746,Declined
131,3.09,418,506,924,959,Declined
132,3.68,501,624,1125,140,Accepted
133,3.67,463,520,983,501,Declined
134,3.47,479,577,1056,869,Accepted
135,4,619,565,1184,679,Accepted
136,2.55,620,455,1075,146,Declined
137,3.45,572,616,1188,747,Accepted
138,3.89,510,542,1052,769,Accepted
139,3.01,492,585,1077,151,Accepted
140,3.85,714,562,1276,595,Accepted
141,2.54,370,443,813,988,Declined
142,3.92,581,584,1165,866,Accepted
143,2.98,477,380,857,741,Declined
144,2.77,570,532,1102,687,Declined
145,3.79,592,527,1119,577,Accepted
146,3.45,352,566,918,108,Declined
147,3.42,610,580,1190,911,Accepted
148,3.57,675,620,1295,927,Accepted
149,2.54,621,693,1314,147,Declined
150,4,597,654,1251,253,Accepted
151,3.13,618,608,1226,163,Accepted
152,2.13,439,473,912,347,Declined
153,2.7,499,658,1157,221,Declined
154,3.54,463,463,926,537,Declined
155,2.76,424,444,868,138,Declined
156,3.59,621,594,1215,133,Accepted
157,3.35,518,551,1069,741,Declined
158,3.32,440,428,868,938,Declined
159,2.84,532,488,1020,844,Declined
160,2.94,534,530,1064,474,Declined
161,2.69,440,403,843,757,Declined
162,3.22,550,450,1000,775,Declined
163,2.96,602,530,1132,275,Declined
164,2.69,527,404,931,250,Declined
165,2.63,546,517,1063,962,Declined
166,2.9,553,624,1177,922,Declined
167,2.18,493,633,1126,267,Declined
168,3.43,499,589,1088,437,Declined
169,3.16,643,621,1264,325,Accepted
170,3.35,589,587,1176,522,Accepted
171,3.48,651,569,1220,751,Accepted
172,2.43,489,518,1007,531,Declined
173,2.9,397,384,781,150,Declined
174,2.58,618,521,1139,359,Declined
175,3.01,451,499,950,322,Declined
176,3.18,341,521,862,586,Declined
177,2.73,453,397,850,805,Declined
178,2.81,535,403,938,196,Declined
179,2.66,575,476,1051,818,Declined
180,4,641,535,1176,727,Accepted
181,3.14,477,304,781,796,Declined
182,3.73,525,608,1133,844,Accepted
183,2.77,478,711,1189,539,Declined
184,4,629,591,1220,391,Accepted
185,3.86,635,542,1177,686,Accepted
186,2.8,483,681,1164,875,Declined
187,2.85,540,668,1208,393,Accepted
188,3.48,488,626,1114,142,Accepted
189,3.6,606,596,1202,328,Accepted
190,3.17,532,525,1057,970,Declined
191,3.13,473,559,1032,117,Declined
192,3.61,438,600,1038,442,Accepted
193,3.22,565,668,1233,400,Accepted
194,3.56,533,593,1126,523,Declined
195,3.51,607,620,1227,245,Accepted
196,3.94,611,591,1202,844,Accepted
197,3.67,609,605,1214,387,Accepted
198,3.7,641,617,1258,297,Accepted
199,3.64,567,597,1164,491,Accepted
200,3.98,636,591,1227,817,Accepted
