,Key,ride_review
30,31,It completely outrageous I called Uber pick airport bring back home They gave service home airport three days prior arrival town To surprise charge travel time distance I paid The service distance location Never request services never request services
31,32,I use Uber time I officially done unprofessional company Guess crime able talk someone person Uber Uber letting drivers ripoff riders I service dog last weeks charged twice cleaning fee without input The last one dirt spots seat already I tired drivers making extra money whenever feel like I done ripped
32,33,Contact number driver Absolutely professional I booked cab showed minutes away Again changed minutes away Followed minutes away I called guide He purposely kept phone speaker pretended like hear Uber really disappointed HORRIBLE
33,34,The navigation system great India driver selection good issues bills rates promos customer care respond quickly
34,35,I pay go phone next impossible get app work I still finding difficult change bank I want money come There ph call customer service
35,36,Uber rides always convenient plentiful prompt All rides good friendly drivers Always impressed cleanliness newness vehicles I ridden
36,37,Uber Atlanta Horrible I Rideshare The driver confused person took ride I requested picked Aquarium go Mary Restaurant If look driver took client place Uber charged ride I never took believed driver Rideshare used If account took ride I never picked driver simply confused person I rides scheduled picked one time Unfortunately growth way account real I problem Washington able get refunded
37,38,I positive experience Uber company I contact I need fast service When mattered always time I thankful
38,39,I ordered Uber Seattle I getting cruise ship needed go city I contacted driver never arrived I contacted another driver wanted walk mile Subway My last encounter driver wanted charge short ride
39,40,I used Uber regularly years ago driver got accident way pick I hop train The next time driver came pick I smell alcohol breath I hopped train The last straw driver late cited causing accident house minutes late Never used Now I use taxis whose drivers licensed bonded insured
40,41,Found California emergency trip without transportation Stranger town Called taxi mile trip hospital Cost way afford long paying food lodging Called Uber Less half cost drivers always prompt courteous helpful recommending food shopping necessities asked Got mini sightseeing tour every ride explained surrounding area Loved Thank Uber
41,42,I avid Uber rider On I ordered Uber pool around My fare The driver picked location On way dropoff driver picked another passenger dropped passenger He proceeded dropoff ended ride mistake The driver load dropoff address It I got car I realized fare duplicated I sent emails UBER They customer relations email They refund money On October I used service This time fare This fare obviously deducted Visa card also statement On app UBER claiming I outstanding payment I PAID THEM I need help
42,43,Uber charged wait time I outside waiting driver pull Today I watched driver pull got car I even texted driver location beforehand confusion Then I look online receipt I see charge This third time Uber done I think scam I rated driver really low change someone verifies drivers responsible I ca get anybody phone Uber customer service atrocious I ca keep using service tries scam every opportunity
43,44,I limited really optimal experiences I use service occasionally like three times last two years nice cars good people short wait low prices
44,45,Used Uber times Miami January Twice drivers good one little lost one find butt hands
45,46,I Uber driver short time passengers said positive things rides The company checks riders allowed use Uber It also background check drivers They send driving directions pickup passengers also destination Then pay week
46,47,Love Uber First time user impressed reasonable price efficient service The driver nice helpful I given five star go certain station catch ride curbside baggage claim area
47,48,In fairness play fair Yes fairness important many us Their ID sketchy car safety checks pay taxes fees taxis
48,49,My car repair shop I needed ride home work I used Uber app driver within minutes professional Her name Joke I said I use services Great experience
49,50,I order Uber pick family I find every time phone higher charges Other phones charge around pool ride phone every time higher charge usually dollar something higher sometimes even
50,51,A couple years back family I went trip Washington state We went one water parks We loaded motor home went The trip ended total bust weather water park trying find accommodation us motor home Not another vehicle Uber came several times Each time Uber people great More less saved trip
51,52,We occasion use Uber first time Washington last fall The service convenient dependable economical easy use The service friendly time drivers courteous A good experience
52,53,My son daughter recently went concert Barclays Center Brooklyn New York For convenience son ordered Uber The quoted fare He charged After concert requested another Uber home New Jersey He quoted cost When left car final cost ride suppose next day received fraud email bank stating charges pending account He quickly called bank dispute charges contacted Uber email also dispute charges He later charged trip He received explanation overcharge price Uber Their accounting poor dispute issues via email We used services states problems We never use services
53,54,Uber suddenly blocked account without giving justification Even customer care giving proper reason I requested reason ca even give This ethical block without reason
54,55,I Uber app installed phone Uber drivers easy schedule payment made online I never need worry cash My wait typically minutes I able see car route along make license plate numbers sent friend text anything ever happen Fares less traditional cabs Cars clean well maintained Love Uber
55,56,New User Tried book future pickup thought Realized dispatched driver immediately I discovered I cancelled They charged fee I disputed poor app information There phone number discuss customer relations I NEVER use company
56,57,The Uber driver cancelled trip without consulting I waiting driver pick While I waiting I received email trip cancelled I charged I struggled get hold solve problem everything online I managed submit complaint online They took two hours come back A Mr told I must check reverse money back account true They reverse amount charged trip cancellation fees I sent Mr email told I reimbursed cancellation fees He replied attitude bold driver must get paid cancelled trip time attitude want us The matter resolved like leave keep quiet I replied told Mr I take matter I make alternative arrangements The driver cancelled trip I charged cancellation fee fair I also told attitude send email bold I disappointed disturbed I actually make use Uber nearly every week sometimes twice three times per week I shocked happened tonight kind attitude I received If I fault I understand attitude behaviour Kind regards
57,58,Uber customer support via email beyond words The horrible worthless support group I ever seen These people read cases subsequent replies bizarre repeat previous CS rep reply You never support rep even case accountability structure It quite unbelievable levels bad At least writer dispute credit card charge But driver Uber cheat money get away I victim
58,59,Uber came home faster pick driver courteous wait minutes without charge The driver use precaution respect speed limit He good Education He known lot World History I compare total price I save like regular taxi expensive I recommend Uber peace mind
59,60,I noticed I Googled Uber giving free rides new customers I downloaded app attempted add payment method I disabled therefore I receive money prepaid government debit card The card issued Bank America government United States Uber allow form payment allow use PayPal account attached said debit card I find extremely prejudicial towards disabled sect many us drive even afford car making ride sharing necessity I spoken Uber drivers find map app incorrect quite often getting lost making late They also find politics company deplorable Lyft hand take government United States issued Bank America debit card I forego old free ride bait switch offered Uber ride Lyft ride share company I never problem whose drivers friendly time ask directions company understands prepaid card means money guaranteed Perhaps London right idea
60,61,I four trip distances four different fares Uber charged fare showed phone I tried lot contact resolve problem end said days solve problem There phone number contact I upset charged credit card I never use service Shame Uber
61,62,I use Uber daily commute back forth work The drivers reliable I deal cash transactions anymore The last time I used cab driver ripped Thank God Uber
62,63,In general Uber great app easy use convenient When becomes great app surge prices feature The ride costs ridiculous amount I agree charge high demand limit like But often times much Makes regular customers like resentful
63,64,I used Uber many times CA MD The app bit user friendly though With exception one drivers friendly driven carefully One time I issue billing customer service handled problem immediately satisfaction I definitely recommend Uber
64,65,Uber done great job provide us alternative transportation people want use bus taxis It provides security privacy customers
65,66,We used Uber NYC recently first experience service Almost drivers three days prompt courteous treated us respect I envy guys job certainly appreciated
66,67,This convenient inexpensive I used friends make trip town celebrate birthday It awesome fast service going returning
67,68,Earlier year I attempted apply driver due poor knowledge lack direct communication provided Uber I unable complete hiring process This company readily available personnel assist require immediate assistance They simply direct text attend upcoming Uber meeting city questions They also collect maintain personal driving records personal identifiable information documents individuals unable meet requirements Such information purged systems kept file
68,69,I wonder thoroughly company background check prospective drivers really My concern comes reports news drivers mental otherwise criminal behavior
69,70,We used Uber first time attend wedding reception Portland loved The ease using awesome The people picked us professional clean friendly
70,71,I pleased Uber They may project charges one credit cards tried refuse remove probably removed later credit card company Also one drivers ran wife broke back three places
71,72,We started using Uber past year Las Vegas Nevada A hotel staff member helped us download app use The drivers dependable prompt courteous The cars much cleaner cabs rates much lower I sorry hear scandals recently besieged company hoping CEO decision take leave absence help company reform improve name Unfortunately Uber allowed operate area otherwise husband I use often
72,73,I booked Uber XL hotel San Francisco International Airport pickup The quoted fare Our hotel offered take us per person opted take Uber personal service efficiency We excellent driver vehicle arrived airport I discovered Uber charged The worst part Uber make easy book trip make difficult contact regarding surge pricing effect given estimate new price rather surprising price twice originally quoted They lost customer second bad experience The last one Philadelphia two drivers cancel left us hanging airport third driver show construction pickup truck full tools construction material We maintained Rating issues drivers regarding Uber rating Uber customer service completely rely solely website answer questions In day age completely unacceptable
73,74,Uber drivers I dealt always professional safe drivers pleasure deal Their cars always clean mostly newer models For part drivers get short period time However occasionally might get driver suddenly realizes want take call suddenly see map going different direction That frustrating waiting pick luckily rarely happened Overall Uber good
74,75,Uber arrived pick within minutes called Clean comfortable vehicles good music Courteous drivers safe driving habits During rush hour area I familiar driver willing divert GPS directions go way I told avoid traffic But one driver little less accommodating dropped luggage carry across street destination
75,76,Uber convenient always time within five minutes stated time always knew far away I recommend service anyone needs lift
76,77,We left STRANDED rural Framingham MA dark way hotel My colleague disabled must use cane The evening memorable many reasons I sorry say probably remain memorable actions The problem started driver showed hotel Hotel Sheraton Framingham early Saturday evening September We dinner reservations evening historic inn us eagerly looking forward booked ride arrive minutes PM When car arrived early texted porte cochere SIR emphasis added ride I carefully responded noted early We ready I went outside spoke directly asked like wait invalided friend simply leave He preferred latter Fine I requested Uber ride I watched smartphone TWO next Uber cars came view Uber driver shows get The car drives yards receives text Uber saying ride CANCELLED Okay something must I admittedly know enough computers dangerous So I go back cellphone another ride It point I received error message point credit card American Express declined What I called American Express told UBER declined payment Uber declined payment WHY That question yet fully dinner I requested ride back Sheraton Framingham I get error message PAYMENT HAS BEEN DECLINED We sitting dark rural Framingham Massachusetts colleague cane wondering world going make back Hotel Sheraton We looking forward genealogy conference going historic inn I terribly sorry say experience marred treatment Uber I shall uninstall app NEVER use Uber
77,78,Arrived LAX hours ahead schedule due change plans pickup available My daughter suggested try Uber comparing fare going home A black shiny Suburban picked us less minutes The van interior clean driver He pleasant talk drove us home safely It pleasant experience dirty taxis smelly cab drivers
78,79,Using UBER pleasant surprise I love fact available short notice The prices much affordable taxi cabs I using prior UBER fare payment via credit card great They offer deliver good service I felt safe everything already system need pull anything I also tried UBER driver several months It fun I one incident caused concern calling UBER confirming ride Between pm close price surge time I switched several different driver confirmations caused wait night I finally called cab
79,80,I live small town times one available pick Uber great large metropolitan areas Drivers polite punctual I noticed ride state different amount however I dropped price increased There customer service number I understand even drivers main number contact Uber Corporate That serious issue Every company human speak concerns
80,81,I used Uber times Once driver got lost causing miss bus costing extra fare The times ok I believe way overpriced Sorry fan
81,82,I used Uber couple medical appointments The drivers prompt friendly I happier The cars spotless I lots floor space The rides smooth cars nice important back issues I highly recommend Uber anyone everyone
82,83,The service convenient phone call came location The drivers always time courteous helpful Their fee usually less commercial cab fares vehicles clean efficient
83,84,It really great thing They incentives discount rides build lots rides give references business But safe great concept
84,85,I organization financially assisting seniors transportation choices use Uber via Care home health Our Friends Outreach pay app fees charge rides vetted seniors via city Irvine Certain seniors access phone connect apps also meet criteria use transportation modes support financially using service trial basis contracts So far good
85,86,Quick efficient service clean cars polite staff Sets standard local cab services aspire All half price
86,87,I sure reach Uber I unique question example airport pickups gated community pickups car seat issues I opt use instances
87,88,When Ann Arbor Uber driver polite helpful Chicago drivers DID come car speak unless spoke except ask Also driver especially courteous helpful This first encounter using Uber
88,89,I use UBER I go Pittsburgh daughter wants go shopping want walk She lives Stanton Heights store Butler St Lawrenceville I feel safe taking UBER
89,90,Drivers accept never show This happened times I riding Uber weeks Uber made late work say coming never show wo cancel ride end company charges card ride show cancellation fee
90,91,Used Uber Great experience great concept getting around without great expense Thought making extra money driver Rules personal safety Overall good business
91,92,I waited several drivers I unfamiliar neighborhood describe location adequately When driver finally showed hearing impaired difficulty making understood make airport time esp flight delayed He drove quite fast taking shortcuts Made little concerned safety
92,93,They always prompt knowledgeable courteous professional They ideal town I plan use often
93,94,My child girl need go school early morning I request Uber taxi cleverly went destination pick family call I I reply In front building said put wrong address put driver say nothing coming I trying call back automate machine say I call account phone number driver charge nothing well babies late school I decide request another car map said minutes Well I thought maybe car make The driver cancel literately front building right way business treat customer And late one school college Good job UBER
94,95,Uber much better urban areas car A local knows route burn less gas need park gives us explanation town joy
95,96,I used Uber many times I good experiences time I like convenience automatic payment drivers great well
96,97,Driver prompt friendly Found drivers rate passengers alert drivers potentially aggressive riders passengers rate drivers becomes company knowledge
97,98,I used Uber stay Las Vegas Nevada good experience I taken directly destination arrived right time Uber driver friendly lady I really enjoyed laughing talking trip
98,99,I used Uber Orlando NYC The use current technology helps obtain ground transportation fast exception rainstorm In NYC I challenges obtaining transportation
99,100,My first experience Uber taken Seattle Airport The vehicle really clean driver courteous safe driver professional
100,101,I like Uber Uber used personal driving tool type driver For one use personal source transportation help public another public transportation help satisfy need public It sound like lot conflicting areas going work progress kinda get back
101,102,Uber LGB airport June instead She took long way got lost freeway backtrack
102,103,Originally wonderful less expensive convenient alternative cabs become awkward expensive popularity grown
103,104,I terrible experience Uber pool I ordered first time yesterday route I taken many times UberX My phone older Uber app allow see fare requesting Uber pool ride However I taken ride many times UberX cost never I figured since Uber pool claims cheaper UberX shared ride I fine Boy I wrong I ordered pool waited estimated time see car I received phone call either Finally I noticed car half block past I standing I went car told get already cancelled I charged cancellation ordered location minute wait Time goes car Suddenly app switches car arriving set destination So driver cancelled No phone call never saw car Yet another cancellation fee About minutes later I get text driver one word waiting But I third Uber pool heading home I respond get automated response Uber After almost two hours usually minute ride two passengers I get home check receipt What usually UberX ride Uber pool ride I stunned So I email Uber I demand refund cancellation fees justify Uber pool ride double UberX ride All I get form responses rate They claim surge charges They try claim issue resolved I persist Suddenly I see additional charge credit card I ask additional charge No response Only numerous emails tell quoted rate trip Uber driver cancelled remove So justify one trip another trip ordered five minutes later route I persist offer give credit Uber pool Why I accept Uber pool credit app show price upfront I risk charged double UberX rate So finally I told I willing pay usual UberX rate expect refund charges I still keep getting standard responses I plan filing dispute credit card I absolutely outraged ridiculous pool price previous canceling incredible lack customer service part Uber I requested contact information manager numerous emails never provided information At point I taking business elsewhere I hear Lyft much better
104,105,I absolutely love Uber They convenient quick part safe I use Uber every day I issues traumatic As point I know I without Uber I rely go everywhere case needing go event going packed parking horrible Uber They drop close event worry paying high prices parking spot Overall I happy Uber
105,106,I always found Uber reliable professional nationwide They choice transportation I travel business pleasure
106,107,PROS Really easy use fast arrival time car CONS Background check doubtful sometimes car description accurate
107,108,My driver personable made feel safe It good come across patriot rather grunts groans one usually encounters car service drivers
108,109,The driver professional polite easy talk understand He also nicely dressed along helpful points interest might like Plus took good care vehicle kept clean Because glad try Uber needed
109,110,We want drive San Francisco parking hotel We used Uber times found response times fast drivers courteous careful obey laws We knew higher prices rush times surprised higher reasonable charge one time rode pm We use Uber trips unfamiliar cities
110,111,New driver hours online Trying contact UBER literally impossible I sent delivery message lasted approx second disappeared I went first call unable slide commence ride When I slide I virtually destination Being unable contact UBER explain anything total waste
111,112,Uber great service There places privilege buses even taxi ride It great citizens need get doctor appointment Uber also provided lot people jobs
112,113,I used Uber first time Washington DC area several months ago My son lives showed use app within minutes ride arrived safely back location Waiting public transit hour transport time The driver professional nice
113,114,I hear Uber friends used They say thing company ease getting service hours day price better taxi
114,115,I enjoy cheap cost I feel saddened negative impact taxi drivers far better qualifications drive people around So many Uber drivers know area drive safe drivers often obeying basic driving rules
115,116,I friend Uber account software phone requests I used Uber twice maybe three times They fairly short rides went well The drivers friendly cars driving newish clean
116,117,For solo travelers best cheapest safest way go The savings vs cab tremendous I used Uber Philadelphia parking garage dinner cruise outdoor festival Even midnight pick Go Uber stay safe
117,118,I ordered Uber today appt I doc At first I told walk two blocks meet driver convenience I waited around minutes kept tracking driver car showed After thoroughly checking entire block I found across street I quickly ran informed ride cancelled I order car I assigned another driver one five minutes away That driver canceled five minutes I ordered another one never showed I ended walking mile appt I never use Uber They absolutely reliability customer service I try Lyft future
118,119,I guests us total ordered Uber XL advertised seat people When I pulled order I choice Uber X Uber XL Knowing people driver I ordered Uber XL When car arrived small SUV passenger vehicle driver told us squeeze I emailed Uber numerous times issue luck getting anything automated response saying issue resolved I order Uber XL larger groups I get Uber XL I requested refund price difference success It necessarily principle And also illegal drive people squeezed back seat It embarrassing town guests I witnesses verify size vehicle
119,120,Used service week vacation downtown Chicago Drivers always available service quite prompt The drivers vehicles clean concerned safety good driving practices Even pickup drop USA women soccer game Soldiers field accomplished satisfaction even though area crowded spectators The prices reasonable Very satisfied service
