"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
11407,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","10000+","Public Sector","2",42,1
3781,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","2",50,1
18845,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","50-99","Funded Startup","3",40,0
21941,"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","100-500","Pvt Ltd","3",47,1
19244,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",83,0
2590,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","1000-4999","Pvt Ltd",">4",75,0
23191,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","8","100-500","Funded Startup","1",48,0
23365,"city_101",0.5579999999999999,"Male","No relevent experience","no_enrollment","Graduate","STEM","<1","<10","Early Stage Startup","1",146,1
26948,"city_102",0.804,"Male","No relevent experience","no_enrollment","Graduate","STEM","4","100-500","Pvt Ltd","1",19,0
6075,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","100-500","Pvt Ltd","3",50,0
5733,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","6","100-500","Pvt Ltd","2",13,1
28256,"city_104",0.924,"Male","No relevent experience","Full time course","Graduate","STEM","4","50-99","Pvt Ltd","1",28,0
29646,"city_11",0.55,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","10/49","Pvt Ltd","1",66,1
32567,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","4","10000+","Pvt Ltd","1",35,0
29490,"city_67",0.855,"Female","Has relevent experience","no_enrollment","Graduate","Humanities","4","50-99","Pvt Ltd","3",140,1
1549,"city_152",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","2",89,1
23430,"city_20",0.7959999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","100-500","Pvt Ltd",">4",25,0
5789,"city_173",0.878,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","1",24,1
245,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","10000+","Pvt Ltd",">4",18,0
24014,"city_42",0.563,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","50-99","Pvt Ltd","1",103,1
6679,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","1000-4999","Pvt Ltd","1",35,1
26706,"city_114",0.9259999999999999,"Male","No relevent experience","Part time course","Masters","STEM","8","5000-9999","NGO","2",121,0
17014,"city_67",0.855,"Male","Has relevent experience","Full time course","Masters","STEM","10","10000+","Pvt Ltd","3",14,0
30471,"city_16",0.91,"Male","Has relevent experience","Full time course","Graduate","STEM","2","5000-9999","Pvt Ltd","1",170,0
896,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","10000+","Pvt Ltd","2",96,0
33232,"city_21",0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd","never",51,0
24326,"city_138",0.836,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",24,0
28185,"city_136",0.897,"Female","Has relevent experience","no_enrollment","Graduate","Arts","4","100-500","Pvt Ltd","1",132,0
31421,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","Arts",">20","100-500","Pvt Ltd",">4",18,0
22868,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","1000-4999","Pvt Ltd",">4",72,0
18228,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Funded Startup","1",100,0
17858,"city_81",0.73,"Male","Has relevent experience","Part time course","Graduate","STEM","9","50-99","Pvt Ltd","4",89,0
27590,"city_43",0.516,"Male","No relevent experience","no_enrollment","Graduate","STEM","5","10000+","Public Sector",">4",7,1
3355,"city_159",0.843,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Public Sector",">4",12,0
23741,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","10/49","Pvt Ltd","2",89,1
21162,"city_103",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM","3","100-500","NGO",">4",29,0
4807,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","8","10000+","Pvt Ltd","never",26,1
25618,"city_104",0.924,"Male","Has relevent experience","no_enrollment","Masters","STEM","3","5000-9999","Pvt Ltd","1",102,0
27196,"city_103",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","7","10/49","Pvt Ltd","4",37,1
16071,"city_128",0.527,"Male","Has relevent experience","Part time course","Graduate","STEM","7","500-999","Pvt Ltd","1",20,1
19148,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM","8","100-500","Pvt Ltd","1",41,0
13794,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","1",100,0
28804,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Public Sector",">4",84,0
14446,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd","never",55,1
6731,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","20","1000-4999","Pvt Ltd",">4",11,0
27906,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","5000-9999","Pvt Ltd","1",63,0
12317,"city_75",0.9390000000000001,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd","2",50,0
6161,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",30,0
17362,"city_11",0.55,"Male","Has relevent experience","Full time course","Graduate","STEM","4","10/49","Pvt Ltd","1",26,1
33060,"city_152",0.698,"Female","No relevent experience","Part time course","Graduate","Other","3","10/49","Funded Startup","1",14,0
4777,"city_16",0.91,"Female","Has relevent experience","no_enrollment","Masters","STEM","9","100-500","NGO","1",8,0
30999,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","5000-9999","Pvt Ltd","3",55,1
10812,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","4","10000+","Pvt Ltd","2",32,1
21316,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","100-500","NGO","1",166,1
20763,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","5000-9999","Pvt Ltd",">4",24,0
8611,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","500-999","Pvt Ltd",">4",188,1
13118,"city_173",0.878,"Male","Has relevent experience","no_enrollment","Phd","Other",">20","100-500","Funded Startup","1",8,0
27224,"city_173",0.878,"Other","Has relevent experience","no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd","2",9,0
14335,"city_42",0.563,"Male","No relevent experience","Full time course","Graduate","STEM","5","50-99","Pvt Ltd","2",100,1
3788,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM",">20","5000-9999","Other",">4",46,0
10984,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","Humanities","2","10000+","NGO","1",28,0
32261,"city_74",0.579,"Male","Has relevent experience","Part time course","Graduate","STEM","12","50-99","Funded Startup","2",48,1
32050,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","10000+","Pvt Ltd","1",100,0
9096,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",28,1
25793,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd","1",52,0
12103,"city_116",0.743,"Male","Has relevent experience","no_enrollment","Masters","STEM","18","1000-4999","Pvt Ltd",">4",25,0
14095,"city_64",0.6659999999999999,"Male","Has relevent experience","Part time course","Graduate","Humanities","2","100-500","Pvt Ltd","2",14,1
16869,"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",13,1
1849,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","9","10/49","Pvt Ltd","3",79,0
179,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","Business Degree","7","1000-4999","Pvt Ltd",">4",79,1
26223,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","<1","500-999","Public Sector","1",18,1
23111,"city_50",0.8959999999999999,"Male","Has relevent experience","no_enrollment","Phd","STEM",">20","50-99","Pvt Ltd","never",222,0
27144,"city_40",0.7759999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd","1",58,0
24052,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","3","100-500","Pvt Ltd","3",30,0
11127,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd","1",4,0
18084,"city_103",0.92,"Male","Has relevent experience","Full time course","Masters","STEM","14","10000+","Pvt Ltd","3",102,1
23717,"city_50",0.8959999999999999,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","never",72,0
32807,"city_21",0.624,"Male","No relevent experience","Full time course","Masters","STEM","5","50-99","Pvt Ltd","4",6,0
7450,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","16","100-500","Pvt Ltd","2",24,1
986,"city_64",0.6659999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","50-99","Funded Startup","1",31,0
19268,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","16","10/49","Pvt Ltd","1",113,0
18430,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Funded Startup","1",316,1
28786,"city_104",0.924,"Male","Has relevent experience","no_enrollment","Graduate","Arts","12","<10","Early Stage Startup","never",50,0
2079,"city_76",0.698,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","10/49","Pvt Ltd","1",17,0
1124,"city_103",0.92,"Male","No relevent experience","Full time course","Graduate","STEM","6","10000+","Public Sector",">4",56,1
22770,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Pvt Ltd","2",164,1
12625,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","9","10000+","Pvt Ltd",">4",91,1
12188,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","<10","Early Stage Startup","4",103,1
26853,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","<10","NGO","1",72,1
7336,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Graduate","Arts",">20","100-500","Funded Startup","2",26,0
24374,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","<1","100-500","Pvt Ltd","1",30,1
31837,"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","1",21,0
1958,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","10000+","Pvt Ltd","4",114,1
317,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd","1",105,0
14461,"city_155",0.556,"Male","No relevent experience","no_enrollment","Graduate","STEM","1","50-99","Pvt Ltd","1",290,1
5418,"city_103",0.92,"Male","No relevent experience","Full time course","Graduate","STEM","10","100-500","Public Sector","1",4,0
27750,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","500-999","Funded Startup","1",30,0
8166,"city_103",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","14","100-500","NGO","1",47,0
6646,"city_136",0.897,"Male","Has relevent experience","Part time course","Graduate","STEM","10","10000+","Pvt Ltd","1",26,0
2903,"city_159",0.843,"Male","Has relevent experience","Part time course","Graduate","STEM",">20","<10","Pvt Ltd","1",8,0
21799,"city_97",0.925,"Female","Has relevent experience","no_enrollment","Phd","STEM",">20","100-500","Funded Startup","2",28,0
4455,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","8","1000-4999","NGO","3",31,1
2675,"city_23",0.899,"Male","Has relevent experience","Part time course","Graduate","STEM","10","1000-4999","Pvt Ltd",">4",70,0
31598,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",">20","50-99","Pvt Ltd",">4",29,0
12150,"city_120",0.78,"Male","No relevent experience","no_enrollment","Graduate","STEM","16","50-99","Pvt Ltd",">4",28,1
30516,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","10/49","Pvt Ltd",">4",94,0
27655,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","5000-9999","Pvt Ltd","1",116,1
26733,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","100-500","Pvt Ltd","4",10,0
13749,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","Humanities",">20","<10","Pvt Ltd","4",26,1
6326,"city_99",0.915,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","1000-4999","Pvt Ltd","2",26,0
17289,"city_36",0.893,"Male","Has relevent experience","Part time course","Graduate","STEM","9","<10","Pvt Ltd","1",113,0
31004,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd",">4",31,0
26212,"city_61",0.9129999999999999,"Male","No relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",124,0
27243,"city_78",0.579,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Pvt Ltd","2",97,1
2755,"city_114",0.9259999999999999,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","10/49","Pvt Ltd",">4",6,0
32079,"city_116",0.743,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","1000-4999","Pvt Ltd","2",31,1
22049,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree",">20","100-500","Pvt Ltd",">4",79,0
18459,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","10000+","Pvt Ltd","2",33,0
32730,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","<1","10000+","Pvt Ltd","2",122,1
9034,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM","8","10000+","Pvt Ltd","2",6,1
17811,"city_64",0.6659999999999999,"Male","Has relevent experience","Full time course","Graduate","STEM","14","10000+","Pvt Ltd","3",258,1
2547,"city_114",0.9259999999999999,"Female","Has relevent experience","Full time course","Masters","STEM","16","1000-4999","Public Sector","2",14,0
25453,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd",">4",72,0
31237,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","4","50-99","Pvt Ltd","1",151,1
21794,"city_27",0.848,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Pvt Ltd","1",39,0
2143,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","50-99","Pvt Ltd","3",77,1
17220,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd","3",270,1
26185,"city_16",0.91,"Male","No relevent experience","no_enrollment","Graduate","Arts","2","50-99","Pvt Ltd","2",48,1
32588,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","1000-4999","Pvt Ltd","1",216,1
12670,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","1","50-99","Pvt Ltd","1",9,1
12155,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","7","100-500","Pvt Ltd","2",80,0
567,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","50-99","Pvt Ltd","1",126,0
7056,"city_10",0.895,"Male","Has relevent experience","no_enrollment","Graduate","Other","15","10/49","Pvt Ltd","never",164,0
31886,"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities","15","1000-4999","Pvt Ltd",">4",51,1
28745,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","100-500","Pvt Ltd","2",90,0
15643,"city_16",0.91,"Male","Has relevent experience","Full time course","Graduate","STEM","17","10000+","Pvt Ltd","4",61,0
1865,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Masters","STEM","8","500-999","Pvt Ltd","1",92,0
12594,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","<10","NGO",">4",78,0
5734,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","2","10/49","Early Stage Startup","2",3,1
12124,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","<10","Pvt Ltd","2",17,0
30081,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Funded Startup","1",48,1
4147,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Phd","STEM","<1","1000-4999","Pvt Ltd","1",45,0
18777,"city_16",0.91,"Male","No relevent experience","no_enrollment","Graduate","STEM","11","10/49","Pvt Ltd",">4",100,0
6374,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","14","<10","Pvt Ltd","1",87,1
17219,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","1","50-99","Pvt Ltd","1",260,1
24135,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","2","10/49","Pvt Ltd","1",246,1
15091,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","1000-4999","Pvt Ltd","1",28,0
15249,"city_149",0.6890000000000001,"Male","No relevent experience","Full time course","Graduate","Other","3","50-99","Pvt Ltd","1",34,0
26767,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","500-999","Funded Startup","2",147,1
28159,"city_61",0.9129999999999999,"Male","Has relevent experience","Part time course","Graduate","STEM","8","<10","Pvt Ltd","1",48,0
27629,"city_159",0.843,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","10/49","Pvt Ltd",">4",21,1
19339,"city_21",0.624,"Male","Has relevent experience","Part time course","Graduate","STEM","3","10/49","Pvt Ltd","1",67,1
2404,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","50-99","Pvt Ltd","never",18,1
33079,"city_83",0.9229999999999999,"Male","Has relevent experience","Full time course","Graduate","STEM","11","1000-4999","Pvt Ltd","1",44,0
1743,"city_36",0.893,"Male","Has relevent experience","no_enrollment","Masters","Business Degree",">20","1000-4999","Pvt Ltd","never",133,0
16586,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Masters","STEM","12","50-99","Pvt Ltd","4",34,0
25466,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","2",22,0
5445,"city_128",0.527,"Female","Has relevent experience","no_enrollment","Graduate","STEM","2","50-99","Pvt Ltd","2",81,1
24860,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","1","<10","Early Stage Startup","1",84,1
6417,"city_75",0.9390000000000001,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","50-99","Pvt Ltd","4",192,1
19467,"city_128",0.527,"Female","Has relevent experience","no_enrollment","Masters","Other","10","<10","Pvt Ltd","2",18,1
12315,"city_143",0.74,"Female","No relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","1",40,0
6229,"city_114",0.9259999999999999,"Male","No relevent experience","Full time course","Graduate","STEM","1","10/49","Funded Startup","1",139,1
11894,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","15","500-999","Funded Startup","1",15,1
28336,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10/49","Pvt Ltd",">4",52,0
11750,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","17","1000-4999","Pvt Ltd","4",13,1
22062,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","50-99","Pvt Ltd","2",94,1
32821,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Public Sector","2",29,1
25518,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","<10","Pvt Ltd",">4",24,0
29866,"city_74",0.579,"Male","Has relevent experience","no_enrollment","Masters","STEM","7","50-99","Pvt Ltd","1",30,1
9605,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10/49","Pvt Ltd","2",26,0
32872,"city_53",0.74,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","10000+","Pvt Ltd","1",102,0
8321,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","3",44,0
3023,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","1000-4999","Pvt Ltd","2",145,0
33143,"city_103",0.92,"Male","No relevent experience","Full time course","Graduate","No Major","1","1000-4999","NGO","1",95,1
4268,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other","5","1000-4999","Pvt Ltd","1",65,0
9540,"city_158",0.7659999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","100-500","Pvt Ltd","1",46,0
30200,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","1",13,0
14257,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","13","10/49","NGO","1",21,1
596,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","4","100-500","Pvt Ltd","1",60,0
23149,"city_114",0.9259999999999999,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd",">4",19,0
29930,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",58,0
24333,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","1000-4999","Pvt Ltd",">4",85,1
8228,"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","2","10000+","Pvt Ltd","1",73,1
13423,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","<10","Pvt Ltd","4",34,1
27660,"city_114",0.9259999999999999,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","100-500","Pvt Ltd","2",30,1
28516,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","3","100-500","NGO","2",34,1
31244,"city_74",0.579,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","4",27,1
19797,"city_21",0.624,"Female","Has relevent experience","Full time course","Masters","STEM","13","100-500","Pvt Ltd",">4",8,1
10550,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","never",44,1
26335,"city_142",0.727,"Male","Has relevent experience","Full time course","Graduate","STEM","4","100-500","Public Sector","1",31,0
27872,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","<1","<10","Early Stage Startup","1",73,1
9949,"city_75",0.9390000000000001,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd",">4",35,0
11657,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",4,1
20129,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Funded Startup","1",109,1
16194,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","17","100-500","Pvt Ltd","4",2,1
1145,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Pvt Ltd","3",6,0
19490,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","<10","Funded Startup","4",50,1
32685,"city_116",0.743,"Male","Has relevent experience","no_enrollment","Masters","STEM","7","10/49","Funded Startup","1",61,1
8129,"city_13",0.8270000000000001,"Male","Has relevent experience","no_enrollment","Phd","STEM","18","50-99","Pvt Ltd","2",18,0
24043,"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","5","10000+","Pvt Ltd","never",28,1
26920,"city_114",0.9259999999999999,"Male","No relevent experience","no_enrollment","Masters","STEM","4","<10","Pvt Ltd","2",21,0
140,"city_72",0.795,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Funded Startup","1",4,0
22584,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd","2",22,1
11660,"city_160",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd","1",298,1
17981,"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd","1",40,0
31774,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","<1","50-99","Pvt Ltd","1",45,1
24818,"city_75",0.9390000000000001,"Female","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Pvt Ltd","2",40,0
5247,"city_104",0.924,"Male","No relevent experience","no_enrollment","Phd","STEM",">20","500-999","Public Sector",">4",30,0
25820,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","19","10000+","Pvt Ltd","1",145,1
