overall,reviewText,summary
4.0,My son like it... Plus I like to see old cats like Ricky Steamboat & Randy Macho Man Savage do their thing along with the Ultimate Warrior I wish he was on WWE 13.,Awesome....
5.0,I like  this James Bond,I like this James Bond
5.0,Outstanding! Everything as expected,Five Stars
5.0,I've had 4 of these and it's definitely a great system. A great console for any serious gamer.,Great!
5.0,"4.7/5 (Rounded it up to 5 stars)

I'm the not the biggest fan of the series and have only play a handful of the games, so my rating isn't on the game series but as a single game. Honestly, I was surprised on how much I even liked this game since i've tried to play FFX & FFXIII but honestly hated them but its the open world concept that really helps make this game decent. There are definitely a few major issues with this game but im willing to overlook them since the game is quite well done.

Pros:
Open World (It was needed to compete other modern game series these days)
Battle Style ( decent and makes sense, minus a few glitchy boss battles)
Character development! (it really creates the story of you and your friends)
Sides Quests! (so many)
Beautiful Game Graphics
Interesting Characters (had a few gems as far as characters go)
Interactions with the world around Notics
Day/Night
Activities (not really side quests but the little things you can do in your spare time)

Cons:
Main Story (Very typical and could have used more work)
Boss Battles (crappy camera work)
Magic (this is more of a personal thing, but the magic system was a miss for me)
Lunafreya (Yes! She is literally a con for me because i couldn't stand her..  she had no depth as a character and was SO typical)",One of the better FF games
5.0,"As always, Mario games looks fun but always challenging. Mario Galaxy is very very creative. Each levels are unique in its own ways. This is a must for every Wii owner.",Great game!
5.0,even though these are for xbone i actually installed them in my ps4 controller since the original ones were wearing out.. works great.,works great.
5.0,"In the Box you will find the Shield TV, Shield Controller, USB cable, Power Cable, and HDMI cable. I added a 64GB Micro SD card and was able to set the apps to be automatically pushed to it.

I got hung up during the initial setup when it came to the firmware upgrade. It downloaded and my screen went blank after install. I hit the forums and found that if you have the Shield TV plugged into a HDMI 2.0 port on initial setup there is currently a bug that will cause this. The remedy is to power off the Shield TV and then plug it back into a HDMI 1.4 port. After doing this it finished up and was working. I was then able to move back to the HDMI 2.0 port.

This is the fastest streaming box I have used yet. Navigating menus, launching apps, and starting streams are all very fast. I ended up removing my Roku 3 and Chromecast because I was so happy with it. It has become the primary streaming device in my living room. It doesn't currently have Vudu or Amazon Streaming services but I am able us use my PS4 for those services. I am also able to cast to the Shield TV like a Chromecast from my phone allowing me to use that as well.

I also am able to use the Nvidia Gamestream feature to stream games from my PC that has a Nvidia graphics card. I have been playing Fallout 4 in the living room streamed from the PC and it has been working very well for me. I should note that I am using hard wired Gigabit Ethernet connections on each device.

I got the bundle with the free remote and honestly this is the way they should be by default. In my opinion the remote is pretty much a must have if you are going to be using this in your living room.

Overall I think this is a great box that does many things and does most of them pretty well. In my experience no streaming box does everything perfectly but this one works really well and I'd recommend it.",Great streaming box for your living room
5.0,THIS IS THE BEST SCIFI GAME TO COME OUT SINCE STARWARS IN THE ARCADE. PURE SCIFI ACTION THAT IS 100% ORIGINAL AND SATISFYING.,Ah the memories
4.0,Can't beat arcade mode. Can only get to about the 5th guy then I get owned every time. Just like in the olden days in Pizza Hut. Great game though probably not the best version but fun. Music is pretty good. Never had any issues with the cartridge. If your collecting for the Genesis pick it up. If not you got a lot choices.,Ippon!
3.0,"I'm not too crazy about the shortened timeline in this one. You basically finish one way to save the homeland, then restart the game with your possessions intact to finish another quest. It feels a little rushed. I still enjoyed it though.",A little short.
5.0,"Logitech are pretty good at what they do, I don't know how the other manufacturers are keeping up with them when it comes to mice. It's amazingly ergonomic and easy to use, very precise as well - can't be more pleased with this mouse.",Logitech are pretty good at what they do
3.0,"I have bought several games before from Amazon, but most of them have been on a disk for a reason, I live deep in the woods of MO and our ISP is limited to a very slow 1.5 MG DL speed ( on a good day ) and several years of buying many games from Steam digitally has taught me to go for the disk every chance I get.  However, that is getting tougher to do as the years go by it seems.

At any rate, as far as the game, I cannot offer that much feedback, cause I actually STINK at 3rd person games ( and don't exactly excel at my favorite, the 1st person shooters ) so I am pretty much stuck early in the game, I can say that it is more difficult than the other games I have played in recent years, and I am not crazy about the infrequent save points the game sets, but it sure is purty :)

But, be warned, if you do not have a great ISP with a solid connection, you may have another birthday pass you by before this monster gets done downloading!  It took me a solid SEVEN DAYS at a near 24/7 to complete it.  I learned a week latter that it is the second largest game to date, so heads up folks, better have a fast ISP or you need to break out another computer to use.....for a long time while you have yours tied up with this MASSIVE download!",Better have a great ISP.....
5.0,AWESOME,Five Stars
1.0,"Awful could not play it for more than 10 minutes, trade it for GTA V.",One Star
5.0,nice,Five Stars
4.0,"Being the first of my friends to get the Wii I knew that it would be traveling so I decided to be proactive and get a travel case right away.

After reading several reviews I decided on the Pro Gamer's Case because I wanted something that could take abuse and still keep the Wii safe.  I chose well.

The Wii fits snuggly in one section and has a velcro strap to hold it in place.  I can get it out with one finger (the Wii has one corner cut off possibly just for this reason) but my friend had to use a pen to get it out because he has big fingers, another reviewer suggested placing a ribbon under the console which I think is a perfect solution.

Beyond its tough exterior and surprising light weight, the sensor bar holder is my favorite feature, I don't worry at all about it getting damaged because it is neatly tucked away, a simple but smart addition on the part of the designers.

The case holds the Wii, power source, sensor bar, 2 remotes, 2 nunchucks and 6 games in their cases.  If I put the games in a soft case I could fit 4 remotes and 4 nunchucks.  I don't use the Wii stand.

Con:
It could be slightly bigger to accomodate a little padding inside in case you drop it.

Overall, I think it's a great case for storing and transporting the Wii.

I paid $35.99 at Amazon which I think is pricey but I needed it right away.",A durable and solid option for transporting the Wii
5.0,"One of the best games to be released on the previous gen. I have probably played all the Bioshocks including dlc, like 10 times each. One of my most favorite franchises ever. The magic of the underwater world and what lies in wake is an awesome draw to this series. Perks, weapon upgrades, the plasmids and tonics and the story line, narative, characters are so fleshed out and in the environment... all the amazing things in this game!!! If you haven't played Bioshock, then you haven't experienced previous gen gaming. I stand by these words... with a metal daddy beside. Ok here goes the overused phrase I'm doing it anyway now.... ""would ya kindly"" get this game because it is insane. 6/5 stars if I could give it.",Best of the best.
5.0,good,Five Stars
5.0,Arrived in great condition and is so far a fun game!,Five Stars
5.0,"Let me start by saying that before the Movie - The Great Gatsby, there was a book called The Great Gatsby written by a great novelist whose name was F. Scott Fitzgerald, he is dead now. This book is one of the best books in modern literature. This game is based on the book. There are excerpts throughout the game that are read and there are characterizations from 'the book.'

I enjoyed this game very much. The music is soothing and relaxing. The game is fun. There are some twists in the seek and find game such as finding letters to make 'words' from 'the book,' cleaning up a party room, typing game that includes typing words from the book, driving the car down the street, making a pot of tea, arranging flowers and so forth. The graphics are really great and they capture some great scenes and locations from the story. The game captures the time period and the story very well as the story is read at times by Nick the narrator.

The download was fast and easy and I was playing the game within minutes so there is no hassle with buying it from Amazon and putting it on your computer, just becareful what operating system you have and that the requirements match your computer.

For a relaxing game that is interesting and fun with great graphics and great music based upon a great book this one is fabulous. For the price it's not outrageously long but you can enjoy some time playing it and capturing some of the nuance from the time period and F. Scott's book. Fun!",Based on The Book - The Great Gatsby by F. Scott Fitzgerald
5.0,"It was a great game when I was a child and its great now. Amazon has been a great source for alot of things, I don't know what I would do without them. I am trying to gather all the classic before they are lost and cant be found ever again, thanks amazon.",Its a great childhood memory
5.0,great game,Five Stars
3.0,"After reading all the negative reviews and what not I decided to give this a shot. I played 1-3 since I have the trilogy and many of us waited on this game. So Andromeda. Where should I begin? Positives? The customization slightly feels better hair wise (now with a new patch), the combat system is quiet good. Actually more improved than the past 3 games to me. While I felt that 2 had the best combat system. It really beats 2. The worlds are really beautiful as well.
Some stuff that fall flat that isn't much of a negative is that Andromeda feels small. Its much bigger than the milky way. Don't know why its smaller. The story and narrative lines are a complete bore that you kinda forget what your character is really doing because you have so much going on with the side missions that you'll forget the main story. Its just really uninteresting. The game is now patch so say bye bye to the bugs from the games early release. The game has something good going on but its unbalanced with the story and boring characters. The new alien species don't look interesting either. A lot of what goes on isn't all so interesting. I think the only way this game can hold a good rating would be if they do some free DLC updates of some sorts with mire interesting plots and writing. As of now its a very plain average game.",The customization slightly feels better hair wise (now with a new patch)
3.0,good little mouse however it is to big for my hand and the buttons need stiffer springs especially while playing games my thumb would accidentally press the buttons and mess me up casting spells when i didn't want to very aggravating I switched back to the corsair,good little mouse however it is to big for my ...
5.0,xgf fgj fj fjf j,xgf fgj fj fjf j
5.0,"Excellent game, future of Super Mario",Five Stars
5.0,"My grand children have enjoy this item, they constantly playing and staying out of trouble, I for my self also enjoy this item, the extra time I have I also play with my grandchildren.",enjoy
5.0,love the game,Five Stars
5.0,LOVE IT,Five Stars
5.0,I have been looking for a pac man DS game and finally found it and have played it for hours since I found it.  Thank you,Great Game.
5.0,"Great deal since it comes with 2 free games and at the time I purchased it, one wasn't even out yet!",Great deal since it comes with 2 free games and ...
5.0,I like,awesome
5.0,"The experience that is Fallout 3 is, in my opinion, unprecedented. A perfect atmospheric mixture of the tranquil beauty of a desolate wasteland and the dismal macabre of a decaying 1950's-esk Washington D.C.

Whether you're wandering through the dilapidated ruins of downtown D.C., scavenging historic artifacts from famous landmarks and presidential memorials, traversing the hilly countryside of Maryland, or spelunking in the spiderweb of underground subway tunnels, you won't have any trouble finding someone, or something, to hold your attention. And plus, giant mutated naked mole rats are so cute!... you'll see.

If that isn't enough for you: Continue the fight against the Enclave with Liberty Prime by your side in the ""Broken Steel"" add-on. Get abducted by aliens and give them a probing of their own with the ""Mothership Zeta"" add-on. Fight a virtual simulation of the liberation of Anchorage with the ""Operation: Anchorage"" add-on. Hug it out Rambo style with raider-slavers in ""The Pitt"" add-on. Or hop on the local ferry for a nice stroll through the Maryland swampland in the ""Point Lookout"" add-on. Mind the swamp plants - they bite.

A one hundred dollar value for a fraction of the price. Do it. DO IT NOW!","""Ah-hah"" Moment of Gaming."
5.0,Excellent product,Five Stars
1.0,"This is for the ""classic Wii (not the U) as far as I can tell... It's a good price for the number of stations per unit and batteries provided but that value drops exponentially I'd you CAN'T get units to actually charge. Even with the remotes stripped down (even removing the safety wrist tie each time you want to charge) you are unlikely to get ANY ""drained"" remote to sit on the station and stay lit as charging. If you enjoy building Houses of Cards with peanut butter on your fingers, you MIGHT enjoy getting these to work.",Skip 'em. Believe ME... It IS as PICKY as it Sounds
5.0,this is for playing n64,an n64 controller
5.0,"I just love this controller the lights on it look awesome, not annoyingly bright like some other controllers.",a solid product
5.0,"What can I say about Amiibo, They work exactly as they should and its good quality. I look pretty much as shown but as with any mass produced toy it isn't exactly like that but I love them anyways! A worthy addition to anyone's collection!",They work exactly as they should and its good quality. I look pretty much as shown but ...
3.0,"I will start this review by first listing the pros of this unit.
Pros:
Well built, the materials are of top quality. From the buttons to the screen, the Shield is a nice piece of hardware.
Android Kit Kat, fast processor, fast web browsing with both Chrome and the built-in. Navigation is pretty straight forward, if you own an android smart phone, this should feel very familiar; back to navigation, it is smooth and can be done with touch, directional/buttons or a mix of both. As expected, being an android based device, you'll find a lot of Google related apps pre installed, such as Plus, Navigation, G-mail which you need to purchase games and an additional email app for those with Yahoo, etc. accounts.
Navigating games, menus and screens is easy and purchasing games from Google Play is a breeze.
It comes with a nice, sturdy USB/AC charger and cable, Nvidia recommends using this as the main source of power when recharging for shorter charging times, but the USB cable can be used alone with a PC port as well.
In conclusion, I can't really complaint about the overall quality of this device, it is worth the money for its quality alone, but I'll explain why I gave it only 3 stars...

For those wondering, you must have the Nvidia GeForce Experience software installed on your rig and a COMPATIBLE vid card to be able to stream games from your PC. I have 2 GTX 780s, so no problem there. You must also have the latest drivers for the vid card and run a game scan from GeForce Experience, this will allow the shield to view all compatible games. Make sure that you have selected the right drives from your rig, under settings, where the software will scan for installed games.

Now, the CONS, which really, weren't many, but just one. A very crucial one for that matter. Connectivity. Please know that I'm a techy, I build my own gaming rigs and have been for the past 15 years, so I have plenty of experience with hardware, software and work as an IT, just in case you are wondering whether I know what I'm doing and/or if I tried everything possible to make this work.
Anyway, as I said above, connectivity was the main CON of this unit. I was able to stream games from both Steam and Origin, but kept getting the same error every 3 minutes; ""Can not connect to PC"", so the game kept on quitting on me. I would have to return to the main menu, select ""continue"" to re-establish the connection to my PC. I was doing this in a private network using a NETGEAR Nighthawk AC1900 router, which has both 2.4 and 5.0 Ghz channels. Of course, Nvidia recommends using the 5.0 for a better experience.
Anyway, after fiddling with router settings, firewalls, ports, etc. I still could not solve the connection problem and decided to return the unit. I did and tried everything that I could to improve/solve the connection issue, I visited forums, You Tube, etc. Nothing worked. The shield software was up to date as well. In case you are wondering, I wasn't very far from my router when testing, I ran test at 40, 20 and even 8 feet from the router in both channels.

Now, I wouldn't be surprised if this problem is related to my unit in particular, after all, I do see a lot of 5 star reviews, so I'm willing to scratch this issue as a ""defective"" unit, because as I mentioned above, this is not a cheaply made device. I'm not saying ""don't buy"" it, but simply letting you know (my gaming brothers), about my experience with the Nvidia Shield. I have always used Nvidia vid cards and have always gotten nothing but great performance/results from them. I had high hopes for the Shield, but I have to be honest and say that I've been disappointed.",Well Built. High Quality. But Connection Issues.
4.0,Does alright. Light plays a big factor in whether or not this works. You still need a good amount of room to use it.,Zoom does an OK job...
5.0,My daughter has been playing different Sims games for a while.  She loves them!,Awesome!
3.0,"Hidden object levels in this game were fine, but I was not expecting the complexity of the ""in between"" stuff. I can see where some people would love the in-depth ""turn here, twist there, put this here to make that run"" but it got really old really fast for me. I like to play games for the ease and fun of them, so I like the hidden object type games. But I found that this one was difficult to figure out what to do to complete a level. I'll say that, for those who are seeking more than a simple hidden object game, this would be a great choice. I had to consult online walkthroughs for help and found that some of the solutions, though difficult, were quite clever.","Frustrating levels, okay hidden object"
3.0,"The game is good, just imagine it would be different. The graphics are good. My son likes to play sometimes, but I think he expected more action and war between battleships.",Battleship
3.0,Works great but some button s stick and was dusty like no tomorrow and was dented would probably not buy again,Works butt....
5.0,"These were delivered in december, and have worked great so far.  Had a problem with them at first, but that was Window's 8's fault.  Sound great, and people can hear me clear.  Glad I bought them.  I don't use mic as much as I should for having this headset, so I cannot speak too much about the durability of that, but the headphones work just fine, never broke, and I wasn't as delicate as I should be with them.  Can keep em on for hours without too much irritation.  If there is, it's probably time to get off the computer because you've been on it for too long.",Work Great so far!
5.0,Excellent! Exactly as described! Fast shipping!,Five Stars
3.0,"They were returned cause i could not get them to work with my system, however they might work for you, i have a Ps4 pro.",They might be the headphones for you
4.0,"Gorgeous graphics, but I cannot beat this game, I died over and over...",Four Stars
3.0,"I bought this thinking it would be a fighter game like DOA, or Soul Calibur,
 it sorta is, but it's more like virtual fighter on Acid.

We had fun playing with it,
 but most of the laughs were at how weird everything is.

I'm not trying to knock the game,
 I just wanted to let anyone checking this game know it's not a typical smash-em-up fighter game.

If you're looking for something whimsical and different,
this might be it.","... bought this thinking it would be a fighter game like DOA, or Soul Calibur"
5.0,none,Five Stars
5.0,"Highest skill cap for a modern game. Absolutely terrifying (for me, at least) to queue up for a game and I'm in the bronze league.
Campaign is very enjoyable and a good tutorial. I recommend HIGHLY playing that first.

Not too diverse in terms of different races you can play, but you will NEVER master the capabilities of one.

TIPS for multiplayer:
Constantly build workers at your base.
Send scouting units to check up on opponents
Use hotkeys (set with CTRL-#)
Never queue up more than one unit on a production building
Place buildings to help defend your base, your income line is precious
Keep your gold low - always be training units / researching upgrades
Build additional bases to mine more money close to your original and make sure you can defend them
Harass with your units, try to hinder your enemy while you build yourself up
Build a diverse army. If you choose only to build one unit, you will find your opponent building its counter
CLICK FAST! NO TIME FOR LALLYGAGGING!

There is a huge community for starcraft. Check out shoutcasters on youtube or watch livestreams on the teamliquid website","If you're buying it now, multiplayer is going to suprise you"
5.0,"This Game Is Fun, It Has A Limited Stock Of Guns Which Was A Turndown. Although It Is A Good Game.",Awesome Game!
5.0,"My daughter loves the game, she plays it a lot and lets her friends play with it.  Not bad, she enjoys the different stories.",Nice
4.0,"very steep learning curve.you must devote a lot of time learning the controls, but in the end its all worth it and more.",patience
5.0,"Some games are not for everyone. If you are an impatient player that just wants to run into a crowd and kill, this is not the game for you. I read some of the bad reviews, and I understand some of their points. I also died quickly at first, until I took the time to scout the areas and planed strategies to take down groups. You can shoot down wasp nests, blow up barrels, release captive creatures to attack their captors, or mount them into fights and maul your enemies, bait orcs to investigate your location for stealth kills etc.
You also improve dramatically as you level your skills and weapons up with runes. The controls feel a lot like the Batman games, with strikes and counters and fun evasion acrobatics.
The Nemesis system is fun, and I advise finding Intel on Orc captains before attempting to take them down to know their weaknesses.
Make no mistake this game is a blast for those who put in a little time learning it. You will die a lot, but it will slowly get less and less as you advance. Worth full price if you are wondering if you should wait for a sale.","I read some of the bad reviews, and I understand some of their points"
5.0,"The good:
-Great co-op modes, tons of fun with 4 players.
-Lots of intense action in competitive multiplayer
-Plenty of weapons
-Amazing customization options for your character

The bad:
-Graphics are a bit behind, textures sometimes lag
-Steep learning curve for some

Overall, this is the best tactical FPS on the PS3. If you're tired of games like COD, try this out.","As far as tactical shooters go, this is king."
5.0,"good quality,  fast delivery",Five Stars
4.0,"To preface this review, I am going from the Corsair K70 Vengeance with red CherryMX switches.

Right off the bat, this keyboard felt very natural to use. The keys are very satisfying to press and my typing feels very natural. The LEDs look FANTASTIC. The plug 'n' play aspect is also very nice (the RGB settings are all function keys). The audible feedback is loud as one would expect, but not too loud. The volume wheel. This is one of the only keyboards with a volume wheel in this price range. A volume wheel, should you not have experienced one, is something you never knew you wanted until you got one.

However, like all things, there were some downfalls.

To start with, the wristrest, while very comfortable, was a bit of a pain in the butt to get on. Secondly, and I'm not sure why, but my H key came without a functioning blue color channel, and the G key was sometimes a bit slow to transition between warm and cool colors. I doubt this will be the case for yours, but it's not really a huge deal.

Some of the minor details I appreciated:
-The tactile feedback on the volume wheel and mute button. I never knew that I didn't like the non-tactile feedback of the volume control on the K70, but after using this, I find I like it better.
-Bootleg CherryMX switches. I know that sounds silly, but the fact that the switches aren't actually CherryMX while being the exact same thing as CherryMX makes these keyboards cheaper to produce (so cheaper for the consumer) but also makes them compatible with CherryMX compatible keycaps. I put my special gaming keycaps that came with my K70 onto this and they fit naturally.
-Key remover! It's not a wire one, granted, however it's still nice to see that keyboard manufacturers still include key removers with their keyboards. Now if only they included keycaps for MOBAs...

All things considered, this is a pretty bangin' keyboard for the price. It has some flaws, but overall it's incredibly nice to look at and use. It does what I want and need it to do, and it is the closest thing to my dream keyboard that currently exists.","Good lord, this keyboard."
3.0,"I bought this to replace my joystick out of the Controller I bought recently when I knew the joystick was VERY loose.

Installation was simple but since it was my first time I had to watch some Youtube Videos to see how the others do it so that it can be a little bit easier for me and also to make sure I know what I'm doing so that I don't mess up or break anything. Only thing is that you HAVE to file it down a little because the plug is a little bit bigger than the part where you have to insert it.

As soon as the Operation was complete it came out as a success! But I am experiencing a BIG difference like it feels rough and if you play games that require aiming like Shooting your bow on Zelda then you might be experiencing some frustrations with your aims... I guess I'll do what other buyers would say. And that it to buy some White Lithium Grease to Lubricate it to make smooth.

But I will say that it's better than having a broken loose joystick.",Ehh It's Alright....
4.0,A great sequel to the original garden warfare.,Four Stars
5.0,excelent,Five Stars
5.0,The reason I like playing the Secret of Margrave Manor is because I like to try to find hidden objects.  It makes you use your brain.  You think you seen an object someplace and you go to that one place where you think you saw it and it's not there.  It takes it to a whole new point.,The Reason Why I like playing The Secret of Margrave Manor.
1.0,The c stick doesn't work and it malfunctions,One Star
5.0,Works great as expected.,Good replacement for the price
1.0,Ok... this product works. It has that much doing for it... but it is wayyyy tooo small. I'm a reasonable short man with relatively small hands and this is just uncomfortable. Definitely get the Wavbirds,"Terrible, Terrible Controller"
5.0,Fun game. Difficult at times.,Five Stars
4.0,"This is a classic example of the mediocrity of game magazine reviews.  Heavenly Sword unfortunately received lukewarm reviews while other inferior games got great reviews from the FPS loving crowd.  I got HS at the bargain price of $19.99 and boy was that a steal.  The production values of this game are sky high and better than some Hollywood movies.  WETA Digital, the company behind the effects from Lord of the Rings did most of the work here, as many have mentioned.  I will also repeat the excellent acting from Andy Serkis also of LOTR fame.

Yes, it is only about 6 hours long depending on how good are you, yet most of those 6 hours you will enjoy yourself if you like a well crafted action game.  Nariko is a great heroine, yes there are some cliches involved but in this age we've seen almost everything.  Kai, the supporting heroine, is a little bland but improves at the end.  This game was also one of the best used examples of the Six Axis, unlike Lair which was implemented not too well.

The only other negative is that due to it's length, maybe $60 was too much of a steep price to pay.  At $30 is a great buy, anything below (like I did!) is a steal.  It's a shame this game didn't get a sequel but that also makes it a gem.  If you can find it at ~$30 or below, get it.  You won't regret it.",WAY underrated game
5.0,this game is fun! I can enjoy it and have fun,Fun!
5.0,The best thing they made for the 360 to help type faster mine works great but has trouble gettin on fully so i leave it attached to a controler now,Best Typing Help for the 360
5.0,good,Five Stars
5.0,I bought this for my daughters birthday along with some new games. It has been a hit!,Five Stars
5.0,My 6 year olds got this from Santa and they're thrilled! I can't tell you anything about the game because I've never played it. My skills ended with the Super Nintendo. :),Kids love it!
1.0,was not haapy about people selling these thing without the disc and saying works fine,... selling these thing without the disc and saying works fine
5.0,"I've created my own ships, mods and storylines for this game since it came out. Even if you don't have 3D design programs people like me have a great deal of ships and mods on the web. It just never gets old.",Still the primo space shooter
5.0,"Great mouse, perfect amount of buttons for a casual gamer. Smooth operation and very aesthetically pleasing with the red light and a dragon cut out ;)",Great for the casual gamer.
4.0,"If this game is going for less than ten dollars, then I recommend grabbing it. Otherwise, you might as well get one of the newer versions. I love basketball games on the ps2 and this was relatively cheap so I grabbed it while I could. Good time-waster and fun to just shoot some baskets without worrying too much about depth.",A fun game but not worth a high amount of money
5.0,About as bad as I thought it was. Can't bother to finish Silver's ball puzzle. 5/5.,Five Stars
4.0,Great games to pass the hours away on a rainy day!,Great game!
5.0,ok,Five Stars
5.0,One of the newest additions to my Final Fantasy collection & was shipped promptly. Great game package for RPG game addicts,Classic
5.0,"this is what i really wanted to task myself with finding a rare gem in the xbox360 portfolio to match ninja Gaiden, and i this does impress.","had it, lost it, now i have it again"
2.0,"Kids really wanted it, but after playing a few times they don't really like it and don't play anymore. They prefer to play the original Minecraft game (which they still play ALL THE TIME). This was not too expensive, but still not worth the money since it was only played a few times.",Not worth it
5.0,"Decent story, I enjoy the time travel mechanic, battle system is pretty fun (due to how it works, you'll never get to a point (unless you GRIND A TON) that you can just auto attack every single non boss battle to death.. or well, you can... but you'll need to heal up pretty often after every 1-2 encounter).  The music in the game is ok.... the sound of your character stepping on stone is somewhat grating and annoying though.

I beat the game 100% and am willing to let a friend borrow and play it... as I'd still be willing to do the game again someday.  5/5 is an easy score for me to give this game.","Amazing game, must have for RPG fans."
5.0,GREAT BUY & HIGHLY RECOMMENDED!,Five Stars
