ID,Marital_Status,Gender,Yearly_Income,Children,Education,Occupation,Home_Owner,Cars,Commute_Distance,Region,Age,BikeBuyer
23310,Married,Female,40000,0,Bachelors,Management,No,2,1-2 Miles,Pacific,60,Yes
11875,Married,Male,60000,0,Partial College,Skilled Manual,No,1,0-1 Miles,North America,46,No
11719,Married,Male,40000,2,High School,Skilled Manual,Yes,2,2-5 Miles,North America,46,No
14050,Single,Male,100000,0,Graduate Degree,Management,No,1,0-1 Miles,Pacific,40,Yes
23586,Married,Female,80000,0,Bachelors,Management,Yes,1,1-2 Miles,North America,34,Yes
25295,Married,Male,130000,5,Partial High School,Management,Yes,4,0-1 Miles,Pacific,37,No
14615,Single,Female,60000,0,Bachelors,Professional,No,1,0-1 Miles,North America,38,No
20232,Married,Male,60000,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,42,No
21112,Married,Male,30000,5,Partial College,Clerical,No,3,0-1 Miles,Europe,29,No
16825,Married,Female,120000,4,High School,Professional,Yes,4,5-10 Miles,Europe,49,No
24092,Married,Female,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,39,Yes
21461,Married,Female,70000,0,Bachelors,Management,Yes,2,10+ Miles,North America,61,No
12438,Single,Female,80000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,51,Yes
22755,Married,Male,70000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,59,No
29154,Single,Male,60000,0,Partial College,Skilled Manual,No,1,2-5 Miles,North America,39,Yes
12626,Married,Female,20000,0,Partial College,Manual,Yes,1,1-2 Miles,Europe,55,No
14257,Married,Male,170000,3,Graduate Degree,Management,Yes,2,0-1 Miles,North America,63,No
12907,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,34,No
15280,Single,Female,80000,0,Bachelors,Management,No,1,1-2 Miles,North America,38,Yes
19258,Married,Male,10000,0,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes
11732,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,47,No
11231,Married,Male,60000,1,High School,Professional,Yes,2,10+ Miles,North America,53,No
22218,Married,Male,60000,0,High School,Professional,No,2,1-2 Miles,North America,49,Yes
11576,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,Yes
11250,Married,Female,170000,4,High School,Professional,Yes,2,5-10 Miles,Europe,51,Yes
12313,Single,Male,100000,4,Bachelors,Management,Yes,4,10+ Miles,Europe,53,No
22633,Single,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
14440,Married,Male,100000,1,Partial College,Professional,Yes,4,2-5 Miles,North America,41,Yes
16642,Single,Male,130000,3,Bachelors,Management,No,4,0-1 Miles,North America,65,No
13030,Single,Female,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,29,No
28349,Single,Female,40000,0,Bachelors,Management,No,2,0-1 Miles,Pacific,67,No
11741,Married,Female,80000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,47,Yes
16940,Single,Female,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,49,Yes
11954,Married,Male,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,31,Yes
28164,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44,Yes
28983,Single,Male,60000,0,Bachelors,Management,No,2,1-2 Miles,North America,65,No
20077,Married,Male,10000,1,High School,Manual,Yes,2,1-2 Miles,North America,53,Yes
12587,Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,28,No
17228,Single,Female,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,30,No
19067,Married,Female,90000,1,High School,Professional,Yes,3,5-10 Miles,Europe,55,Yes
13798,Single,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No
23157,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,No
23112,Single,Male,50000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31,Yes
12624,Married,Female,20000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,54,Yes
13510,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,66,No
24924,Married,Male,110000,5,High School,Management,No,4,10+ Miles,Pacific,35,Yes
15216,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,No
23360,Single,Male,130000,1,Graduate Degree,Management,No,4,0-1 Miles,North America,40,No
26390,Married,Male,150000,4,High School,Professional,Yes,3,0-1 Miles,Europe,51,Yes
18707,Married,Male,110000,0,Graduate Degree,Management,Yes,1,5-10 Miles,Pacific,37,No
14670,Single,Female,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes
21796,Married,Female,40000,1,Partial High School,Skilled Manual,Yes,2,2-5 Miles,North America,56,No
11615,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,1-2 Miles,Europe,30,Yes
17446,Married,Female,70000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,71,Yes
17048,Single,Female,90000,0,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Yes
11487,Single,Female,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No
26830,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,40,Yes
14661,Married,Female,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,No
12698,Married,Male,110000,5,High School,Management,Yes,4,10+ Miles,Pacific,36,Yes
13985,Married,Female,60000,0,Partial College,Skilled Manual,No,1,1-2 Miles,North America,27,No
28396,Single,Female,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Yes
11548,Single,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
21159,Married,Female,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,47,No
29342,Married,Female,30000,0,Partial College,Clerical,No,2,0-1 Miles,Pacific,66,Yes
12402,Single,Male,40000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,35,Yes
20620,Single,Female,90000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,35,Yes
15550,Single,Male,50000,0,Partial College,Skilled Manual,No,1,0-1 Miles,North America,39,No
11359,Single,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,28,Yes
19762,Single,Male,20000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,56,No
13509,Married,Male,30000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,69,No
23065,Married,Male,60000,0,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
24525,Married,Male,90000,4,Bachelors,Management,Yes,1,1-2 Miles,North America,38,No
23958,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,31,Yes
23801,Married,Female,20000,1,Partial High School,Clerical,Yes,2,0-1 Miles,North America,49,No
25341,Single,Female,20000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,51,No
26113,Single,Female,70000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,53,Yes
22776,Married,Female,70000,2,Partial College,Professional,Yes,1,1-2 Miles,North America,56,No
17923,Single,Male,10000,1,High School,Manual,No,0,1-2 Miles,Pacific,29,Yes
16105,Single,Female,80000,3,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41,Yes
24394,Married,Male,110000,2,Bachelors,Management,Yes,3,2-5 Miles,North America,41,No
27323,Single,Female,80000,1,Partial College,Professional,Yes,2,10+ Miles,Europe,54,No
25944,Single,Male,20000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,54,Yes
29339,Single,Male,30000,0,Partial High School,Clerical,No,2,5-10 Miles,North America,27,No
14532,Married,Female,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No
24586,Single,Male,70000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,31,Yes
20364,Married,Female,130000,3,Graduate Degree,Management,Yes,3,2-5 Miles,North America,70,No
11934,Single,Male,40000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,29,Yes
17405,Single,Female,50000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,72,Yes
22670,Married,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,40,No
13297,Married,Male,110000,3,Partial College,Professional,Yes,4,5-10 Miles,North America,45,No
15452,Married,Female,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
14958,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,No
27327,Single,Female,110000,5,Partial College,Management,Yes,2,10+ Miles,Europe,56,No
19162,Married,Male,70000,2,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
13999,Married,Male,70000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,28,Yes
28348,Single,Female,40000,0,Bachelors,Management,Yes,2,5-10 Miles,Pacific,67,No
25161,Married,Female,130000,2,Bachelors,Management,Yes,3,0-1 Miles,North America,42,Yes
16144,Married,Male,70000,0,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,46,Yes
18505,Married,Female,60000,0,High School,Professional,No,2,1-2 Miles,North America,49,No
11298,Married,Male,70000,0,Graduate Degree,Management,Yes,2,1-2 Miles,North America,71,Yes
19510,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes
13382,Married,Male,70000,1,Partial College,Professional,Yes,2,1-2 Miles,North America,57,Yes
16182,Married,Male,60000,3,Bachelors,Professional,Yes,2,0-1 Miles,Pacific,42,No
14502,Married,Female,90000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,68,No
14081,Married,Female,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26,Yes
24718,Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes
12319,Married,Female,90000,1,High School,Professional,Yes,2,10+ Miles,Europe,54,No
13013,Married,Male,60000,4,Bachelors,Professional,No,1,0-1 Miles,Pacific,42,No
13756,Single,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No
20315,Single,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
13211,Married,Male,60000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,60,No
25238,Married,Male,70000,4,Partial College,Skilled Manual,Yes,2,0-1 Miles,Pacific,44,No
18568,Single,Female,50000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,39,Yes
28327,Single,Female,70000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,48,Yes
16912,Married,Male,90000,0,Bachelors,Management,No,2,1-2 Miles,North America,66,Yes
14943,Married,Female,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,40,No
20803,Single,Female,10000,0,Partial College,Manual,Yes,0,0-1 Miles,Europe,50,No
28670,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,Yes
11859,Married,Male,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,No
17693,Single,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,No
17476,Married,Female,60000,0,Graduate Degree,Management,No,2,1-2 Miles,North America,65,Yes
21008,Single,Female,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes
18122,Single,Male,70000,3,Partial College,Professional,Yes,1,10+ Miles,North America,53,Yes
12859,Single,Female,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,44,Yes
17815,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,44,Yes
19461,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,No
22743,Married,Female,40000,0,High School,Professional,Yes,2,10+ Miles,North America,61,No
16236,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,No
11309,Single,Female,60000,0,High School,Professional,Yes,2,5-10 Miles,North America,52,No
23558,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
20930,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes
18301,Single,Female,90000,0,Bachelors,Management,No,1,2-5 Miles,Pacific,48,Yes
27002,Married,Male,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,No
12633,Married,Male,110000,4,Bachelors,Management,Yes,4,5-10 Miles,Europe,61,No
16418,Single,Female,10000,2,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
23264,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,Yes
13424,Married,Female,90000,5,Partial College,Professional,Yes,3,2-5 Miles,North America,42,Yes
18731,Single,Male,90000,0,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes
22954,Single,Male,70000,0,Bachelors,Professional,No,2,5-10 Miles,Pacific,43,Yes
20110,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Yes
12786,Married,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,50,No
14066,Single,Female,60000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Yes
14631,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Yes
23407,Single,Female,80000,0,Graduate Degree,Professional,No,0,0-1 Miles,North America,48,Yes
17188,Married,Female,110000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,51,Yes
21763,Married,Female,40000,0,High School,Professional,No,2,2-5 Miles,North America,61,No
19856,Married,Female,60000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,60,No
19128,Married,Female,70000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
17568,Married,Male,50000,1,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,36,Yes
20751,Married,Male,30000,0,High School,Clerical,No,2,1-2 Miles,North America,51,Yes
12198,Married,Male,60000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,53,Yes
19358,Single,Male,20000,0,High School,Manual,Yes,1,2-5 Miles,Europe,28,No
17860,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Yes
24515,Single,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,30,No
11849,Single,Female,50000,2,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,42,No
13212,Married,Male,60000,0,Bachelors,Management,Yes,2,10+ Miles,North America,61,Yes
11993,Single,Female,60000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes
16751,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,32,Yes
15858,Married,Male,60000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,No
14853,Married,Male,20000,1,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,58,No
20608,Single,Female,100000,5,High School,Management,Yes,2,10+ Miles,Pacific,32,Yes
23578,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,30,No
25169,Single,Male,130000,2,Graduate Degree,Management,No,3,0-1 Miles,North America,72,Yes
22287,Single,Female,60000,5,Bachelors,Skilled Manual,Yes,3,5-10 Miles,North America,42,Yes
28860,Married,Male,60000,0,Graduate Degree,Professional,No,0,0-1 Miles,North America,40,No
27030,Single,Female,30000,0,High School,Clerical,No,2,1-2 Miles,North America,51,No
16758,Married,Male,110000,1,Graduate Degree,Management,Yes,0,1-2 Miles,North America,38,Yes
20721,Single,Female,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,No
15986,Single,Male,60000,0,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52,Yes
16503,Married,Male,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,31,No
18557,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Yes
13118,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes
17242,Married,Male,110000,5,Partial College,Management,Yes,3,10+ Miles,Pacific,33,Yes
25463,Single,Male,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes
21864,Single,Male,100000,4,High School,Management,Yes,4,10+ Miles,Europe,58,No
27614,Married,Male,60000,0,High School,Professional,No,2,1-2 Miles,North America,50,Yes
16450,Single,Female,30000,5,Partial College,Clerical,Yes,2,0-1 Miles,Europe,29,No
23718,Married,Male,60000,1,Partial College,Professional,Yes,2,2-5 Miles,North America,58,Yes
25814,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No
20757,Married,Female,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,50,No
13482,Married,Female,40000,0,Partial College,Professional,No,2,5-10 Miles,North America,54,Yes
27090,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,37,Yes
23542,Single,Male,60000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes
26857,Married,Male,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,41,No
15532,Single,Male,60000,2,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
20755,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,51,Yes
15447,Married,Female,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
21297,Single,Female,90000,3,High School,Professional,Yes,1,5-10 Miles,North America,45,Yes
12160,Single,Female,90000,0,Partial College,Professional,Yes,1,5-10 Miles,North America,42,Yes
13198,Married,Female,120000,4,Bachelors,Management,Yes,4,5-10 Miles,North America,63,No
20159,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Yes
11399,Single,Female,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,No
11750,Married,Female,60000,2,Bachelors,Professional,Yes,1,0-1 Miles,Pacific,38,Yes
16629,Single,Female,110000,5,High School,Management,Yes,4,10+ Miles,Pacific,34,Yes
16686,Married,Female,60000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Yes
12048,Single,Female,70000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,34,No
29088,Single,Female,20000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,56,Yes
19900,Married,Female,120000,4,High School,Professional,Yes,4,5-10 Miles,Europe,49,No
18075,Single,Female,70000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,59,Yes
12216,Married,Male,20000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Yes
14630,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,45,No
23153,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,37,No
12885,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,35,Yes
28330,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
24003,Single,Male,10000,0,High School,Manual,Yes,2,0-1 Miles,Pacific,28,Yes
20372,Married,Female,60000,0,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,52,Yes
12042,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,31,Yes
19312,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
28861,Married,Female,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,29,No
28624,Single,Male,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Yes
28309,Married,Female,90000,2,Bachelors,Professional,No,0,0-1 Miles,Pacific,39,Yes
17848,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,31,Yes
26529,Single,Female,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,37,Yes
21938,Married,Female,60000,3,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
14436,Married,Male,90000,4,Partial College,Professional,Yes,3,2-5 Miles,North America,41,Yes
17133,Single,Male,70000,0,Bachelors,Management,Yes,3,10+ Miles,North America,59,Yes
17227,Married,Female,60000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,31,No
17297,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No
11193,Married,Male,60000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,61,No
19222,Married,Male,30000,0,High School,Skilled Manual,Yes,2,1-2 Miles,North America,49,No
15310,Married,Female,60000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,60,No
16475,Single,Male,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,Yes
11962,Single,Female,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,29,No
19301,Married,Female,20000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,54,Yes
11983,Married,Female,70000,2,Partial College,Professional,Yes,0,5-10 Miles,North America,49,Yes
28817,Married,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,35,No
29126,Single,Female,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,32,Yes
18959,Single,Male,70000,0,Bachelors,Professional,No,1,2-5 Miles,North America,44,Yes
28405,Married,Male,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Yes
17041,Married,Male,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,Yes
12683,Single,Female,120000,5,Partial High School,Professional,Yes,4,10+ Miles,Pacific,33,Yes
26602,Single,Male,70000,2,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
25006,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
19652,Single,Male,40000,0,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Yes
28151,Single,Female,40000,0,Bachelors,Professional,No,1,2-5 Miles,North America,43,No
22001,Single,Male,70000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,49,No
16909,Married,Female,90000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,67,Yes
14742,Married,Female,40000,0,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,No
17116,Single,Female,40000,3,Partial College,Clerical,Yes,2,1-2 Miles,North America,32,Yes
24457,Single,Female,60000,2,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,43,Yes
11681,Married,Female,70000,5,Graduate Degree,Professional,Yes,2,2-5 Miles,North America,37,No
25159,Single,Female,100000,2,Partial College,Professional,Yes,0,2-5 Miles,North America,42,No
11925,Single,Female,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,Yes
20525,Married,Male,60000,1,Bachelors,Management,Yes,0,2-5 Miles,North America,57,Yes
12035,Married,Male,40000,0,Bachelors,Management,No,2,0-1 Miles,Pacific,65,No
23790,Married,Female,20000,0,Partial High School,Clerical,Yes,2,1-2 Miles,North America,51,No
11581,Married,Female,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,No
11225,Married,Female,60000,1,Partial College,Professional,Yes,1,10+ Miles,North America,55,No
24989,Married,Female,70000,1,High School,Professional,Yes,2,10+ Miles,North America,54,No
27853,Single,Female,10000,0,Bachelors,Clerical,No,1,0-1 Miles,Europe,66,No
25706,Single,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,28,Yes
12918,Married,Female,80000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
14705,Single,Female,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,34,Yes
11708,Single,Female,60000,2,Bachelors,Professional,Yes,3,2-5 Miles,North America,43,Yes
20160,Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,28,Yes
16395,Married,Female,10000,3,High School,Manual,No,1,0-1 Miles,Europe,38,No
17877,Single,Male,10000,0,Bachelors,Manual,Yes,0,0-1 Miles,Europe,44,No
25676,Single,Female,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,30,No
18159,Married,Female,100000,4,High School,Professional,Yes,3,10+ Miles,Europe,52,No
28682,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,39,No
26874,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,28,No
16770,Married,Male,60000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,35,Yes
21409,Married,Male,110000,1,Bachelors,Management,Yes,4,2-5 Miles,Pacific,47,No
19023,Married,Female,70000,1,Partial High School,Skilled Manual,Yes,3,10+ Miles,North America,54,Yes
17866,Married,Male,60000,0,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,46,Yes
16098,Married,Female,70000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,37,Yes
17590,Married,Male,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,No
11435,Single,Female,100000,4,Partial College,Management,Yes,4,10+ Miles,Europe,56,No
12585,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Yes
15733,Married,Female,120000,5,Partial High School,Professional,Yes,4,10+ Miles,Pacific,34,Yes
19906,Married,Male,170000,3,High School,Professional,Yes,4,0-1 Miles,Europe,50,No
