ProductKey,SalesOrderNumber,OrderQuantity,UnitPrice,ProductStandardCost,ShipDate,ProductName,Subcategory,Category
480,SO61065,1,2.29,0.8565,1/6/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
214,SO70489,1,34.99,13.0863,5/20/2008,"Sport-100 Helmet, Red",Helmets,Accessories
476,SO52541,1,69.99,26.1763,8/21/2007,"Women's Mountain Shorts, L",Shorts,Clothing
538,SO65839,1,21.49,8.0373,3/16/2008,LL Road Tire,Tires and Tubes,Accessories
217,SO55138,1,34.99,13.0863,10/5/2007,"Sport-100 Helmet, Black",Helmets,Accessories
539,SO72262,1,24.99,9.3463,6/12/2008,ML Road Tire,Tires and Tubes,Accessories
528,SO72463,1,4.99,1.8663,6/15/2008,Mountain Tire Tube,Tires and Tubes,Accessories
389,SO48251,1,1000.4375,605.6492,12/4/2006,"Road-550-W Yellow, 48",Road Bikes,Bikes
606,SO60039,1,539.99,343.6496,12/21/2007,"Road-750 Black, 52",Road Bikes,Bikes
357,SO68204,1,2319.99,1265.6195,4/21/2008,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
480,SO59183,1,2.29,0.8565,12/9/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
605,SO57592,1,539.99,343.6496,11/14/2007,"Road-750 Black, 48",Road Bikes,Bikes
214,SO65853,1,34.99,13.0863,3/16/2008,"Sport-100 Helmet, Red",Helmets,Accessories
214,SO59757,1,34.99,13.0863,12/17/2007,"Sport-100 Helmet, Red",Helmets,Accessories
561,SO59482,1,2384.07,1481.9379,12/13/2007,"Touring-1000 Yellow, 46",Touring Bikes,Bikes
383,SO50646,1,1000.4375,605.6492,6/7/2007,"Road-550-W Yellow, 40",Road Bikes,Bikes
310,SO44631,1,3578.27,2171.2942,11/18/2005,"Road-150 Red, 62",Road Bikes,Bikes
564,SO61029,1,2384.07,1481.9379,1/5/2008,"Touring-1000 Yellow, 60",Touring Bikes,Bikes
225,SO54665,1,8.99,6.9223,9/27/2007,AWC Logo Cap,Caps,Clothing
314,SO46299,1,3578.27,2171.2942,6/2/2006,"Road-150 Red, 56",Road Bikes,Bikes
539,SO70933,1,24.99,9.3463,5/26/2008,ML Road Tire,Tires and Tubes,Accessories
585,SO55601,1,742.35,461.4448,10/12/2007,"Touring-3000 Blue, 44",Touring Bikes,Bikes
380,SO57802,1,2443.35,1554.9479,11/19/2007,"Road-250 Black, 58",Road Bikes,Bikes
528,SO64580,1,4.99,1.8663,2/27/2008,Mountain Tire Tube,Tires and Tubes,Accessories
537,SO58706,1,35,13.09,12/5/2007,HL Mountain Tire,Tires and Tubes,Accessories
477,SO60057,1,4.99,1.8663,12/22/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
536,SO56346,1,29.99,11.2163,10/26/2007,ML Mountain Tire,Tires and Tubes,Accessories
581,SO72838,1,1700.99,1082.51,6/20/2008,"Road-350-W Yellow, 42",Road Bikes,Bikes
485,SO66464,1,21.98,8.2205,3/26/2008,Fender Set - Mountain,Fenders,Accessories
479,SO62746,1,8.99,3.3623,2/1/2008,Road Bottle Cage,Bottles and Cages,Accessories
561,SO68806,1,2384.07,1481.9379,4/29/2008,"Touring-1000 Yellow, 46",Touring Bikes,Bikes
529,SO73583,1,3.99,1.4923,6/30/2008,Road Tire Tube,Tires and Tubes,Accessories
474,SO72459,1,69.99,26.1763,6/15/2008,"Women's Mountain Shorts, S",Shorts,Clothing
312,SO44193,1,3578.27,2171.2942,9/21/2005,"Road-150 Red, 48",Road Bikes,Bikes
485,SO72160,1,21.98,8.2205,6/11/2008,Fender Set - Mountain,Fenders,Accessories
605,SO68882,1,539.99,343.6496,4/30/2008,"Road-750 Black, 48",Road Bikes,Bikes
528,SO68980,1,4.99,1.8663,5/2/2008,Mountain Tire Tube,Tires and Tubes,Accessories
465,SO67160,1,24.49,9.1593,4/6/2008,"Half-Finger Gloves, M",Gloves,Clothing
479,SO69647,1,8.99,3.3623,5/8/2008,Road Bottle Cage,Bottles and Cages,Accessories
478,SO60650,1,9.99,3.7363,12/31/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
536,SO57711,1,29.99,11.2163,11/17/2007,ML Mountain Tire,Tires and Tubes,Accessories
354,SO48224,1,2071.4196,1117.8559,11/30/2006,"Mountain-200 Silver, 42",Mountain Bikes,Bikes
485,SO52101,1,21.98,8.2205,8/12/2007,Fender Set - Mountain,Fenders,Accessories
529,SO51453,1,3.99,1.4923,7/24/2007,Road Tire Tube,Tires and Tubes,Accessories
377,SO47649,1,2181.5625,1320.6838,10/7/2006,"Road-250 Black, 52",Road Bikes,Bikes
225,SO67641,1,8.99,6.9223,4/11/2008,AWC Logo Cap,Caps,Clothing
491,SO55610,1,53.99,41.5723,10/12/2007,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing
484,SO69093,1,7.95,2.9733,5/4/2008,Bike Wash - Dissolver,Cleaners,Accessories
605,SO68612,1,539.99,343.6496,4/26/2008,"Road-750 Black, 48",Road Bikes,Bikes
489,SO54674,1,53.99,41.5723,9/27/2007,"Short-Sleeve Classic Jersey, M",Jerseys,Clothing
477,SO60825,1,4.99,1.8663,1/2/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
346,SO45665,1,3399.99,1912.1544,3/21/2006,"Mountain-100 Silver, 44",Mountain Bikes,Bikes
477,SO57333,1,4.99,1.8663,11/10/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
477,SO57209,1,4.99,1.8663,11/8/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
487,SO57896,1,54.99,20.5663,11/20/2007,Hydration Pack - 70 oz.,Hydration Packs,Accessories
530,SO56864,1,4.99,1.8663,11/5/2007,Touring Tire Tube,Tires and Tubes,Accessories
476,SO59802,1,69.99,26.1763,12/18/2007,"Women's Mountain Shorts, L",Shorts,Clothing
477,SO62072,1,4.99,1.8663,1/21/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
528,SO54592,1,4.99,1.8663,9/26/2007,Mountain Tire Tube,Tires and Tubes,Accessories
222,SO74584,1,34.99,13.0863,7/21/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
480,SO56476,1,2.29,0.8565,10/28/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
480,SO61706,1,2.29,0.8565,1/15/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
474,SO62053,1,69.99,26.1763,1/21/2008,"Women's Mountain Shorts, S",Shorts,Clothing
360,SO47591,1,2049.0982,1105.81,9/27/2006,"Mountain-200 Black, 42",Mountain Bikes,Bikes
222,SO66677,1,34.99,13.0863,3/29/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
536,SO74755,1,29.99,11.2163,7/27/2008,ML Mountain Tire,Tires and Tubes,Accessories
478,SO55957,1,9.99,3.7363,10/18/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
485,SO57827,1,21.98,8.2205,11/19/2007,Fender Set - Mountain,Fenders,Accessories
528,SO58302,1,4.99,1.8663,11/28/2007,Mountain Tire Tube,Tires and Tubes,Accessories
477,SO67925,1,4.99,1.8663,4/16/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
478,SO61668,1,9.99,3.7363,1/15/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
537,SO69210,1,35,13.09,5/5/2008,HL Mountain Tire,Tires and Tubes,Accessories
353,SO68929,1,2319.99,1265.6195,5/1/2008,"Mountain-200 Silver, 38",Mountain Bikes,Bikes
590,SO53437,1,769.49,419.7784,9/7/2007,"Mountain-400-W Silver, 46",Mountain Bikes,Bikes
491,SO72981,1,53.99,41.5723,6/22/2008,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing
528,SO63638,1,4.99,1.8663,2/13/2008,Mountain Tire Tube,Tires and Tubes,Accessories
530,SO61422,1,4.99,1.8663,1/10/2008,Touring Tire Tube,Tires and Tubes,Accessories
474,SO56084,1,69.99,26.1763,10/21/2007,"Women's Mountain Shorts, S",Shorts,Clothing
228,SO57415,1,49.99,38.4923,11/11/2007,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
580,SO55955,1,1700.99,1082.51,10/18/2007,"Road-350-W Yellow, 40",Road Bikes,Bikes
477,SO64085,1,4.99,1.8663,2/20/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
485,SO55591,1,21.98,8.2205,10/12/2007,Fender Set - Mountain,Fenders,Accessories
222,SO73503,1,34.99,13.0863,6/28/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
222,SO53823,1,34.99,13.0863,9/11/2007,"Sport-100 Helmet, Blue",Helmets,Accessories
529,SO66035,1,3.99,1.4923,3/19/2008,Road Tire Tube,Tires and Tubes,Accessories
530,SO57861,1,4.99,1.8663,11/20/2007,Touring Tire Tube,Tires and Tubes,Accessories
225,SO60582,1,8.99,6.9223,12/30/2007,AWC Logo Cap,Caps,Clothing
578,SO70856,1,1214.85,755.1508,5/25/2008,"Touring-2000 Blue, 50",Touring Bikes,Bikes
538,SO73050,1,21.49,8.0373,6/23/2008,LL Road Tire,Tires and Tubes,Accessories
537,SO71677,1,35,13.09,6/6/2008,HL Mountain Tire,Tires and Tubes,Accessories
222,SO62260,1,34.99,13.0863,1/24/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
538,SO63034,1,21.49,8.0373,2/6/2008,LL Road Tire,Tires and Tubes,Accessories
582,SO64173,1,1700.99,1082.51,2/21/2008,"Road-350-W Yellow, 44",Road Bikes,Bikes
228,SO64482,1,49.99,38.4923,2/26/2008,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
362,SO49282,1,2049.0982,1105.81,2/19/2007,"Mountain-200 Black, 46",Mountain Bikes,Bikes
485,SO67936,1,21.98,8.2205,4/16/2008,Fender Set - Mountain,Fenders,Accessories
379,SO47329,1,2181.5625,1320.6838,9/6/2006,"Road-250 Black, 58",Road Bikes,Bikes
214,SO55734,1,34.99,13.0863,10/14/2007,"Sport-100 Helmet, Red",Helmets,Accessories
490,SO59573,1,53.99,41.5723,12/14/2007,"Short-Sleeve Classic Jersey, L",Jerseys,Clothing
357,SO68925,1,2319.99,1265.6195,5/1/2008,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
376,SO60685,1,2443.35,1554.9479,12/31/2007,"Road-250 Black, 48",Road Bikes,Bikes
536,SO59940,1,29.99,11.2163,12/20/2007,ML Mountain Tire,Tires and Tubes,Accessories
478,SO59726,1,9.99,3.7363,12/17/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
530,SO71396,1,4.99,1.8663,6/2/2008,Touring Tire Tube,Tires and Tubes,Accessories
563,SO55672,1,2384.07,1481.9379,10/13/2007,"Touring-1000 Yellow, 54",Touring Bikes,Bikes
528,SO56360,1,4.99,1.8663,10/26/2007,Mountain Tire Tube,Tires and Tubes,Accessories
480,SO61139,1,2.29,0.8565,1/7/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
535,SO60639,1,24.99,9.3463,12/31/2007,LL Mountain Tire,Tires and Tubes,Accessories
388,SO70224,1,1120.49,713.0798,5/16/2008,"Road-550-W Yellow, 44",Road Bikes,Bikes
388,SO59137,1,1120.49,713.0798,12/8/2007,"Road-550-W Yellow, 44",Road Bikes,Bikes
478,SO51971,1,9.99,3.7363,8/10/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
374,SO51391,1,2443.35,1554.9479,7/21/2007,"Road-250 Black, 44",Road Bikes,Bikes
528,SO58090,1,4.99,1.8663,11/24/2007,Mountain Tire Tube,Tires and Tubes,Accessories
606,SO68672,1,539.99,343.6496,4/27/2008,"Road-750 Black, 52",Road Bikes,Bikes
380,SO71602,1,2443.35,1554.9479,6/5/2008,"Road-250 Black, 58",Road Bikes,Bikes
475,SO72019,1,69.99,26.1763,6/9/2008,"Women's Mountain Shorts, M",Shorts,Clothing
537,SO51482,1,35,13.09,7/27/2007,HL Mountain Tire,Tires and Tubes,Accessories
583,SO65017,1,1700.99,1082.51,3/5/2008,"Road-350-W Yellow, 48",Road Bikes,Bikes
475,SO70898,1,69.99,26.1763,5/26/2008,"Women's Mountain Shorts, M",Shorts,Clothing
359,SO54364,1,2294.99,1251.9813,9/21/2007,"Mountain-200 Black, 38",Mountain Bikes,Bikes
357,SO60876,1,2319.99,1265.6195,1/3/2008,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
480,SO73232,1,2.29,0.8565,6/25/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
214,SO71047,1,34.99,13.0863,5/28/2008,"Sport-100 Helmet, Red",Helmets,Accessories
485,SO71667,1,21.98,8.2205,6/6/2008,Fender Set - Mountain,Fenders,Accessories
530,SO57685,1,4.99,1.8663,11/16/2007,Touring Tire Tube,Tires and Tubes,Accessories
480,SO57495,1,2.29,0.8565,11/13/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
312,SO45079,1,3578.27,2171.2942,1/8/2006,"Road-150 Red, 48",Road Bikes,Bikes
539,SO51344,1,24.99,9.3463,7/18/2007,ML Road Tire,Tires and Tubes,Accessories
529,SO70782,1,3.99,1.4923,5/24/2008,Road Tire Tube,Tires and Tubes,Accessories
529,SO60646,1,3.99,1.4923,12/31/2007,Road Tire Tube,Tires and Tubes,Accessories
217,SO56923,1,34.99,13.0863,11/6/2007,"Sport-100 Helmet, Black",Helmets,Accessories
483,SO52735,1,120,44.88,8/25/2007,Hitch Rack - 4-Bike,Bike Racks,Accessories
479,SO52571,1,8.99,3.3623,8/21/2007,Road Bottle Cage,Bottles and Cages,Accessories
386,SO51920,1,1120.49,713.0798,8/8/2007,"Road-550-W Yellow, 42",Road Bikes,Bikes
477,SO56452,1,4.99,1.8663,10/28/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
214,SO72281,1,34.99,13.0863,6/13/2008,"Sport-100 Helmet, Red",Helmets,Accessories
480,SO62374,1,2.29,0.8565,1/26/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
222,SO65679,1,34.99,13.0863,3/13/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
467,SO71364,1,24.49,9.1593,6/2/2008,"Half-Finger Gloves, L",Gloves,Clothing
541,SO66609,1,28.99,10.8423,3/28/2008,Touring Tire,Tires and Tubes,Accessories
474,SO60211,1,69.99,26.1763,12/24/2007,"Women's Mountain Shorts, S",Shorts,Clothing
359,SO65960,1,2294.99,1251.9813,3/18/2008,"Mountain-200 Black, 38",Mountain Bikes,Bikes
535,SO68409,1,24.99,9.3463,4/24/2008,LL Mountain Tire,Tires and Tubes,Accessories
214,SO53984,1,34.99,13.0863,9/15/2007,"Sport-100 Helmet, Red",Helmets,Accessories
535,SO53008,1,24.99,9.3463,8/31/2007,LL Mountain Tire,Tires and Tubes,Accessories
538,SO66487,1,21.49,8.0373,3/26/2008,LL Road Tire,Tires and Tubes,Accessories
537,SO70798,1,35,13.09,5/24/2008,HL Mountain Tire,Tires and Tubes,Accessories
538,SO55946,1,21.49,8.0373,10/18/2007,LL Road Tire,Tires and Tubes,Accessories
477,SO64731,1,4.99,1.8663,3/1/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
573,SO66826,1,2384.07,1481.9379,3/31/2008,"Touring-1000 Blue, 46",Touring Bikes,Bikes
590,SO51507,1,769.49,419.7784,7/28/2007,"Mountain-400-W Silver, 46",Mountain Bikes,Bikes
541,SO60200,1,28.99,10.8423,12/24/2007,Touring Tire,Tires and Tubes,Accessories
372,SO69142,1,2443.35,1554.9479,5/4/2008,"Road-250 Red, 58",Road Bikes,Bikes
478,SO67378,1,9.99,3.7363,4/8/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
485,SO52451,1,21.98,8.2205,8/19/2007,Fender Set - Mountain,Fenders,Accessories
214,SO54499,1,34.99,13.0863,9/24/2007,"Sport-100 Helmet, Red",Helmets,Accessories
222,SO61812,1,34.99,13.0863,1/17/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
478,SO56362,1,9.99,3.7363,10/26/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
530,SO61763,1,4.99,1.8663,1/16/2008,Touring Tire Tube,Tires and Tubes,Accessories
362,SO49315,1,2049.0982,1105.81,2/22/2007,"Mountain-200 Black, 46",Mountain Bikes,Bikes
480,SO61699,1,2.29,0.8565,1/15/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
314,SO44464,1,3578.27,2171.2942,11/5/2005,"Road-150 Red, 56",Road Bikes,Bikes
217,SO59209,1,34.99,13.0863,12/9/2007,"Sport-100 Helmet, Black",Helmets,Accessories
563,SO56845,1,2384.07,1481.9379,11/4/2007,"Touring-1000 Yellow, 54",Touring Bikes,Bikes
237,SO59523,1,49.99,38.4923,12/14/2007,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
217,SO55345,1,34.99,13.0863,10/8/2007,"Sport-100 Helmet, Black",Helmets,Accessories
463,SO57729,1,24.49,9.1593,11/17/2007,"Half-Finger Gloves, S",Gloves,Clothing
529,SO74442,1,3.99,1.4923,7/17/2008,Road Tire Tube,Tires and Tubes,Accessories
361,SO64187,1,2294.99,1251.9813,2/22/2008,"Mountain-200 Black, 42",Mountain Bikes,Bikes
480,SO59398,1,2.29,0.8565,12/12/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
214,SO55909,1,34.99,13.0863,10/17/2007,"Sport-100 Helmet, Red",Helmets,Accessories
214,SO63944,1,34.99,13.0863,2/17/2008,"Sport-100 Helmet, Red",Helmets,Accessories
487,SO70180,1,54.99,20.5663,5/16/2008,Hydration Pack - 70 oz.,Hydration Packs,Accessories
359,SO70061,1,2294.99,1251.9813,5/14/2008,"Mountain-200 Black, 38",Mountain Bikes,Bikes
535,SO69946,1,24.99,9.3463,5/13/2008,LL Mountain Tire,Tires and Tubes,Accessories
237,SO55532,1,49.99,38.4923,10/11/2007,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
483,SO52571,1,120,44.88,8/21/2007,Hitch Rack - 4-Bike,Bike Racks,Accessories
528,SO55772,1,4.99,1.8663,10/15/2007,Mountain Tire Tube,Tires and Tubes,Accessories
327,SO48560,1,782.99,486.7066,12/21/2006,"Road-650 Red, 44",Road Bikes,Bikes
375,SO49976,1,2181.5625,1320.6838,4/16/2007,"Road-250 Black, 48",Road Bikes,Bikes
477,SO68515,1,4.99,1.8663,4/25/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
361,SO68252,1,2294.99,1251.9813,4/21/2008,"Mountain-200 Black, 42",Mountain Bikes,Bikes
217,SO73783,1,34.99,13.0863,7/2/2008,"Sport-100 Helmet, Black",Helmets,Accessories
477,SO64913,1,4.99,1.8663,3/4/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
477,SO54671,1,4.99,1.8663,9/27/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
477,SO64813,1,4.99,1.8663,3/2/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
582,SO61365,1,1700.99,1082.51,1/9/2008,"Road-350-W Yellow, 44",Road Bikes,Bikes
477,SO55000,1,4.99,1.8663,10/3/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
480,SO52682,1,2.29,0.8565,8/24/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
489,SO51425,1,53.99,41.5723,7/22/2007,"Short-Sleeve Classic Jersey, M",Jerseys,Clothing
482,SO57654,1,8.99,3.3623,11/16/2007,"Racing Socks, L",Socks,Clothing
314,SO44674,1,3578.27,2171.2942,11/24/2005,"Road-150 Red, 56",Road Bikes,Bikes
535,SO52645,1,24.99,9.3463,8/23/2007,LL Mountain Tire,Tires and Tubes,Accessories
313,SO44248,1,3578.27,2171.2942,10/1/2005,"Road-150 Red, 52",Road Bikes,Bikes
528,SO74573,1,4.99,1.8663,7/21/2008,Mountain Tire Tube,Tires and Tubes,Accessories
217,SO55421,1,34.99,13.0863,10/9/2007,"Sport-100 Helmet, Black",Helmets,Accessories
480,SO72283,1,2.29,0.8565,6/13/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
477,SO52281,1,4.99,1.8663,8/16/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
463,SO57694,1,24.49,9.1593,11/17/2007,"Half-Finger Gloves, S",Gloves,Clothing
354,SO51077,1,2071.4196,1117.8559,7/7/2007,"Mountain-200 Silver, 42",Mountain Bikes,Bikes
378,SO60969,1,2443.35,1554.9479,1/5/2008,"Road-250 Black, 52",Road Bikes,Bikes
583,SO71347,1,1700.99,1082.51,6/1/2008,"Road-350-W Yellow, 48",Road Bikes,Bikes
529,SO66564,1,3.99,1.4923,3/27/2008,Road Tire Tube,Tires and Tubes,Accessories
537,SO72615,1,35,13.09,6/17/2008,HL Mountain Tire,Tires and Tubes,Accessories
225,SO74748,1,8.99,6.9223,7/26/2008,AWC Logo Cap,Caps,Clothing
475,SO70138,1,69.99,26.1763,5/15/2008,"Women's Mountain Shorts, M",Shorts,Clothing
541,SO56639,1,28.99,10.8423,10/31/2007,Touring Tire,Tires and Tubes,Accessories
465,SO53225,1,24.49,9.1593,9/3/2007,"Half-Finger Gloves, M",Gloves,Clothing
530,SO61390,1,4.99,1.8663,1/10/2008,Touring Tire Tube,Tires and Tubes,Accessories
222,SO55864,1,34.99,13.0863,10/16/2007,"Sport-100 Helmet, Blue",Helmets,Accessories
528,SO58231,1,4.99,1.8663,11/26/2007,Mountain Tire Tube,Tires and Tubes,Accessories
528,SO71221,1,4.99,1.8663,5/31/2008,Mountain Tire Tube,Tires and Tubes,Accessories
477,SO69801,1,4.99,1.8663,5/11/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
363,SO61420,1,2294.99,1251.9813,1/10/2008,"Mountain-200 Black, 46",Mountain Bikes,Bikes
528,SO52511,1,4.99,1.8663,8/20/2007,Mountain Tire Tube,Tires and Tubes,Accessories
222,SO58800,1,34.99,13.0863,12/6/2007,"Sport-100 Helmet, Blue",Helmets,Accessories
538,SO68959,1,21.49,8.0373,5/2/2008,LL Road Tire,Tires and Tubes,Accessories
529,SO73736,1,3.99,1.4923,7/2/2008,Road Tire Tube,Tires and Tubes,Accessories
381,SO48875,1,1000.4375,605.6492,1/17/2007,"Road-550-W Yellow, 38",Road Bikes,Bikes
605,SO68083,1,539.99,343.6496,4/18/2008,"Road-750 Black, 48",Road Bikes,Bikes
467,SO55593,1,24.49,9.1593,10/12/2007,"Half-Finger Gloves, L",Gloves,Clothing
374,SO52370,1,2443.35,1554.9479,8/18/2007,"Road-250 Black, 44",Road Bikes,Bikes
530,SO61845,1,4.99,1.8663,1/17/2008,Touring Tire Tube,Tires and Tubes,Accessories
222,SO67430,1,34.99,13.0863,4/9/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
538,SO68311,1,21.49,8.0373,4/22/2008,LL Road Tire,Tires and Tubes,Accessories
339,SO47906,1,782.99,486.7066,10/31/2006,"Road-650 Black, 44",Road Bikes,Bikes
477,SO60216,1,4.99,1.8663,12/24/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
214,SO56562,1,34.99,13.0863,10/30/2007,"Sport-100 Helmet, Red",Helmets,Accessories
588,SO65489,1,769.49,419.7784,3/10/2008,"Mountain-400-W Silver, 40",Mountain Bikes,Bikes
363,SO68719,1,2294.99,1251.9813,4/28/2008,"Mountain-200 Black, 46",Mountain Bikes,Bikes
