SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,UnitPriceDiscountPct,ProductStandardCost,ShipDate,MonthName,MonthNumber,Quarter,Year,RepLastName,EmployeeTitle,ProductName,BusinessType,ResellerName,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup
SO43907,2,2,419.4589,0,413.1463,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Road-650 Red, 52",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,3,2,183.9382,0,181.4857,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"LL Road Frame - Red, 62",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,4,2,178.5808,0,176.1997,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"LL Road Frame - Black, 58",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,5,1,419.4589,0,413.1463,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Road-650 Black, 58",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,6,1,28.8404,0,31.7244,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Long-Sleeve Logo Jersey, M",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,7,1,2146.962,0,2171.2942,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Road-150 Red, 56",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,8,5,419.4589,0,413.1463,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Road-650 Red, 44",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,9,2,20.1865,0,12.0278,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Sport-100 Helmet, Red",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO43907,10,4,419.4589,0,413.1463,2/5/2011,February,2,1,2011,Blythe,Sales Representative,"Road-650 Red, 62",Warehouse,Leather and Vinyl Manufacturing,Northeast,United States,North America
SO44301,8,1,419.4589,0,413.1463,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-650 Red, 52",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,9,1,2146.962,0,2171.2942,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-150 Red, 52",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,10,1,419.4589,0,413.1463,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-650 Black, 60",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,11,4,28.8404,0,31.7244,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Long-Sleeve Logo Jersey, XL",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,12,5,2146.962,0,2171.2942,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-150 Red, 44",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,13,1,2146.962,0,2171.2942,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-150 Red, 56",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,14,1,28.8404,0,31.7244,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Long-Sleeve Logo Jersey, M",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,15,1,419.4589,0,413.1463,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-650 Black, 52",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,16,1,20.1865,0,12.0278,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Sport-100 Helmet, Blue",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44301,17,2,419.4589,0,413.1463,4/7/2011,April,4,2,2011,Ito,Sales Representative,"Road-650 Black, 58",Value Added Reseller,Area Bike Accessories,Southwest,United States,North America
SO44547,24,7,419.4589,0,413.1463,5/8/2011,May,5,2,2011,Vargas,Sales Representative,"Road-650 Red, 62",Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44547,25,3,356.898,0,352.1394,5/8/2011,May,5,2,2011,Vargas,Sales Representative,"ML Road Frame - Red, 52",Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44547,26,6,419.4589,0,413.1463,5/8/2011,May,5,2,2011,Vargas,Sales Representative,"Road-650 Black, 52",Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44547,27,3,183.9382,0,181.4857,5/8/2011,May,5,2,2011,Vargas,Sales Representative,"LL Road Frame - Red, 62",Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44547,28,13,845.6342,0.02,884.7083,5/8/2011,May,5,2,2011,Vargas,Sales Representative,"Road-450 Red, 58",Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44547,29,10,5.1865,0,5.7052,5/8/2011,May,5,2,2011,Vargas,Sales Representative,AWC Logo Cap,Warehouse,Rewarding Activities Company,Canada,Canada,North America
SO44548,1,1,419.4589,0,413.1463,5/8/2011,May,5,2,2011,Mitchell,Sales Representative,"Road-650 Black, 58",Specialty Bike Shop,Alpine Ski House,Southwest,United States,North America
SO44549,1,5,28.8404,0,31.7244,5/8/2011,May,5,2,2011,Reiter,Sales Representative,"Long-Sleeve Logo Jersey, L",Specialty Bike Shop,Consolidated Sales,Southeast,United States,North America
SO44549,2,3,5.7,0,3.3963,5/8/2011,May,5,2,2011,Reiter,Sales Representative,"Mountain Bike Socks, L",Specialty Bike Shop,Consolidated Sales,Southeast,United States,North America
SO44549,3,3,2024.994,0,1898.0944,5/8/2011,May,5,2,2011,Reiter,Sales Representative,"Mountain-100 Black, 42",Specialty Bike Shop,Consolidated Sales,Southeast,United States,North America
SO44794,1,2,2024.994,0,1898.0944,6/7/2011,June,6,2,2011,Campbell,Sales Representative,"Mountain-100 Black, 42",Value Added Reseller,Finer Parts Shop,Northwest,United States,North America
SO44795,1,5,2024.994,0,1898.0944,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Mountain-100 Black, 48",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,2,2,722.5949,0,623.8403,6/7/2011,June,6,2,2011,Ito,Sales Representative,"HL Mountain Frame - Silver, 38",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,3,2,28.8404,0,31.7244,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Long-Sleeve Logo Jersey, XL",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,4,15,5.225,0.05,3.3963,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Mountain Bike Socks, M",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,5,8,2039.994,0,1912.1544,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Mountain-100 Silver, 38",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,6,3,28.8404,0,31.7244,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Long-Sleeve Logo Jersey, M",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,7,2,2039.994,0,1912.1544,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Mountain-100 Silver, 42",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,8,1,722.5949,0,623.8403,6/7/2011,June,6,2,2011,Ito,Sales Representative,"HL Mountain Frame - Silver, 42",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO44795,9,3,2024.994,0,1898.0944,6/7/2011,June,6,2,2011,Ito,Sales Representative,"Mountain-100 Black, 38",Warehouse,Golf and Cycle Store,Southwest,United States,North America
SO45314,5,2,419.4589,0,413.1463,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-650 Red, 60",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,6,2,183.9382,0,181.4857,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"LL Road Frame - Red, 60",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,7,1,356.898,0,352.1394,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"ML Road Frame - Red, 48",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,8,2,874.794,0,884.7083,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-450 Red, 52",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,9,2,178.5808,0,176.1997,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"LL Road Frame - Black, 58",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,10,1,178.5808,0,176.1997,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"LL Road Frame - Black, 52",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,11,2,419.4589,0,413.1463,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-650 Red, 48",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,12,1,2146.962,0,2171.2942,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-150 Red, 62",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,13,1,419.4589,0,413.1463,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-650 Red, 44",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45314,14,1,874.794,0,884.7083,8/8/2011,August,8,3,2011,Saraiva,Sales Representative,"Road-450 Red, 44",Warehouse,Wholesale Parts,Canada,Canada,North America
SO45779,14,2,20.1865,0,12.0278,10/6/2011,October,10,4,2011,Reiter,Sales Representative,"Sport-100 Helmet, Black",Value Added Reseller,Better Bike Shop,Southeast,United States,North America
SO45780,1,2,2024.994,0,1898.0944,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Mountain-100 Black, 42",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,2,2,28.8404,0,31.7244,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Long-Sleeve Logo Jersey, L",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,3,1,28.8404,0,31.7244,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Long-Sleeve Logo Jersey, M",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,4,2,714.7043,0,617.0281,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"HL Mountain Frame - Black, 42",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,5,2,2039.994,0,1912.1544,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Mountain-100 Silver, 44",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,6,4,5.1865,0,5.7052,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,AWC Logo Cap,Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,7,1,809.76,0,699.0928,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"HL Mountain Frame - Black, 44",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,8,2,2024.994,0,1898.0944,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Mountain-100 Black, 44",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO45780,9,2,2039.994,0,1912.1544,10/6/2011,October,10,4,2011,Saraiva,Sales Representative,"Mountain-100 Silver, 48",Warehouse,Original Bicycle Supply Company,Canada,Canada,North America
SO46060,14,2,20.1865,0,12.0278,11/5/2011,November,11,4,2011,Ansman-Wolfe,Sales Representative,"Sport-100 Helmet, Red",Value Added Reseller,Outdoor Sports Supply,Northwest,United States,North America
SO46060,15,1,2039.994,0,1912.1544,11/5/2011,November,11,4,2011,Ansman-Wolfe,Sales Representative,"Mountain-100 Silver, 48",Value Added Reseller,Outdoor Sports Supply,Northwest,United States,North America
SO46060,16,1,20.1865,0,12.0278,11/5/2011,November,11,4,2011,Ansman-Wolfe,Sales Representative,"Sport-100 Helmet, Blue",Value Added Reseller,Outdoor Sports Supply,Northwest,United States,North America
SO46060,17,1,28.8404,0,31.7244,11/5/2011,November,11,4,2011,Ansman-Wolfe,Sales Representative,"Long-Sleeve Logo Jersey, XL",Value Added Reseller,Outdoor Sports Supply,Northwest,United States,North America
SO46061,1,1,2024.994,0,1898.0944,11/5/2011,November,11,4,2011,Blythe,Sales Representative,"Mountain-100 Black, 48",Specialty Bike Shop,Only Bikes and Accessories,Northeast,United States,North America
SO46061,2,1,2039.994,0,1912.1544,11/5/2011,November,11,4,2011,Blythe,Sales Representative,"Mountain-100 Silver, 42",Specialty Bike Shop,Only Bikes and Accessories,Northeast,United States,North America
SO46061,3,2,2024.994,0,1898.0944,11/5/2011,November,11,4,2011,Blythe,Sales Representative,"Mountain-100 Black, 44",Specialty Bike Shop,Only Bikes and Accessories,Northeast,United States,North America
SO46061,4,3,2024.994,0,1898.0944,11/5/2011,November,11,4,2011,Blythe,Sales Representative,"Mountain-100 Black, 42",Specialty Bike Shop,Only Bikes and Accessories,Northeast,United States,North America
SO46062,1,1,356.898,0,352.1394,11/5/2011,November,11,4,2011,Saraiva,Sales Representative,"ML Road Frame - Red, 48",Warehouse,Designated Distributors,Canada,Canada,North America
SO46062,2,4,2146.962,0,2171.2942,11/5/2011,November,11,4,2011,Saraiva,Sales Representative,"Road-150 Red, 56",Warehouse,Designated Distributors,Canada,Canada,North America
SO46358,16,4,874.794,0,884.7083,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-450 Red, 60",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,17,2,419.4589,0,413.1463,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-650 Black, 58",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,18,3,183.9382,0,181.4857,12/6/2011,December,12,4,2011,Carson,Sales Representative,"LL Road Frame - Red, 60",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,19,3,419.4589,0,413.1463,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-650 Black, 44",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,20,1,874.794,0,884.7083,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-450 Red, 44",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,21,1,874.794,0,884.7083,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-450 Red, 52",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,22,3,874.794,0,884.7083,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-450 Red, 58",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,23,2,183.9382,0,181.4857,12/6/2011,December,12,4,2011,Carson,Sales Representative,"LL Road Frame - Red, 62",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,24,1,874.794,0,884.7083,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-450 Red, 48",Value Added Reseller,Riders Company,Central,United States,North America
SO46358,25,4,2146.962,0,2171.2942,12/6/2011,December,12,4,2011,Carson,Sales Representative,"Road-150 Red, 52",Value Added Reseller,Riders Company,Central,United States,North America
SO46630,16,9,22.794,0,15.6709,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Full-Finger Gloves, L",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,17,1,65.6018,0,48.5453,1/5/2012,January,1,1,2012,Reiter,Sales Representative,HL Mountain Handlebars,Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,18,3,35.994,0,24.7459,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Men's Sports Shorts, M",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,19,1,125.415,0,92.8071,1/5/2012,January,1,1,2012,Reiter,Sales Representative,ML Mountain Front Wheel,Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,20,1,736.1455,0,653.6971,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"HL Mountain Frame - Black, 42",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,21,2,36.447,0,26.9708,1/5/2012,January,1,1,2012,Reiter,Sales Representative,LL Mountain Front Wheel,Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,22,2,28.8404,0,29.0807,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Long-Sleeve Logo Jersey, M",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,23,4,44.994,0,30.9334,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Women's Tights, S",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,24,2,35.994,0,24.7459,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Men's Sports Shorts, S",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46630,25,4,647.994,0,598.4354,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Mountain-300 Black, 44",Value Added Reseller,Valuable Bike Parts Company,Southeast,United States,North America
SO46672,17,4,780.8182,0,722.2568,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"HL Road Frame - Red, 62",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,18,4,202.332,0,187.1571,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"LL Road Frame - Red, 62",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,19,3,324.4527,0,300.1188,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"ML Road Frame-W - Yellow, 48",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,20,1,14.1289,0,9.7136,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Half-Finger Gloves, L",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,21,1,780.8182,0,722.2568,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"HL Road Frame - Red, 48",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,22,1,24.2945,0,17.978,1/5/2012,January,1,1,2012,Reiter,Sales Representative,LL Road Handlebars,Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,23,11,580.2538,0.02,605.6492,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Road-550-W Yellow, 38",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,24,6,202.332,0,187.1571,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"LL Road Frame - Red, 44",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,25,2,14.1289,0,9.7136,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"Half-Finger Gloves, M",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46672,26,2,183.9382,0,170.1428,1/5/2012,January,1,1,2012,Reiter,Sales Representative,"LL Road Frame - Black, 60",Warehouse,Rally Day Mall,Southeast,United States,North America
SO46974,1,10,33.7745,0,24.9932,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,ML Mountain Handlebars,Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,2,4,1229.4589,0,1105.81,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"Mountain-200 Black, 38",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,3,5,744.2727,0,660.9142,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"HL Mountain Frame - Silver, 38",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,4,2,44.994,0,30.9334,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"Women's Tights, S",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,5,1,647.994,0,598.4354,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"Mountain-300 Black, 40",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,6,10,15,0,10.3125,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,Cable Lock,Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,7,6,137.694,0,101.8936,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,HL Fork,Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,8,10,28.8404,0,29.0807,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"Long-Sleeve Logo Jersey, L",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,9,2,88.932,0,65.8097,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,LL Fork,Warehouse,Front Sporting Goods,Northwest,United States,North America
SO46974,10,2,44.994,0,30.9334,2/5/2012,February,2,1,2012,Ansman-Wolfe,Sales Representative,"Women's Tights, M",Warehouse,Front Sporting Goods,Northwest,United States,North America
SO47026,12,2,744.2727,0,660.9142,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"HL Mountain Frame - Silver, 38",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,13,2,1229.4589,0,1105.81,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"Mountain-200 Black, 38",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,14,2,209.256,0,185.8193,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"ML Mountain Frame - Black, 48",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,15,1,209.256,0,185.8193,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"ML Mountain Frame - Black, 44",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,16,3,65.6018,0,48.5453,2/5/2012,February,2,1,2012,Reiter,Sales Representative,HL Mountain Handlebars,Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,17,3,647.994,0,598.4354,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"Mountain-300 Black, 44",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,18,6,1242.8518,0,1117.8559,2/5/2012,February,2,1,2012,Reiter,Sales Representative,"Mountain-200 Silver, 46",Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,19,3,180.129,0,133.2955,2/5/2012,February,2,1,2012,Reiter,Sales Representative,HL Mountain Front Wheel,Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,20,2,125.415,0,92.8071,2/5/2012,February,2,1,2012,Reiter,Sales Representative,ML Mountain Front Wheel,Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47026,21,4,141.615,0,104.7951,2/5/2012,February,2,1,2012,Reiter,Sales Representative,ML Mountain Rear Wheel,Value Added Reseller,Noiseless Gear Company,Southeast,United States,North America
SO47353,5,1,125.415,0,92.8071,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,ML Mountain Front Wheel,Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,6,18,20.8945,0.05,15.6709,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"Full-Finger Gloves, M",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,7,3,647.994,0,598.4354,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"Mountain-300 Black, 48",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,8,3,24.2945,0,17.978,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,LL Mountain Handlebars,Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,9,4,209.256,0,185.8193,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"ML Mountain Frame - Black, 48",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,10,3,1229.4589,0,1105.81,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"Mountain-200 Black, 42",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,11,1,180.129,0,133.2955,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,HL Mountain Front Wheel,Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,12,6,1229.4589,0,1105.81,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"Mountain-200 Black, 46",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,13,2,209.256,0,185.8193,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"ML Mountain Frame - Black, 38",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47353,14,3,209.256,0,185.8193,3/7/2012,March,3,1,2012,Saraiva,Sales Representative,"ML Mountain Frame - Black, 44",Value Added Reseller,Nearby Cycle Shop,United Kingdom,United Kingdom,Europe
SO47400,26,6,14.1289,0,9.7136,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Half-Finger Gloves, L",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,27,6,61.374,0,45.4168,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,ML Headset,Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,28,18,41.2445,0.05,30.9334,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Women's Tights, L",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,29,32,24.0337,0.1,29.0807,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Long-Sleeve Logo Jersey, L",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,30,3,22.794,0,15.6709,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Full-Finger Gloves, M",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,31,8,1229.4589,0,1105.81,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Mountain-200 Black, 42",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
SO47400,32,14,52.1942,0.02,37.1209,3/7/2012,March,3,1,2012,Mitchell,Sales Representative,"Men's Bib-Shorts, S",Warehouse,Commercial Sporting Goods,Southwest,United States,North America
